"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,3,3,2,2,3,1,2,3
"2",3,2,1,1,3,3,1,2,3
"3",2,2,1,1,2,2,2,3,1
"4",1,2,1,2,2,3,1,3,2
"5",2,1,2,2,2,1,3,3,3
"6",1,2,2,1,1,1,2,2,1
"7",2,1,3,2,3,3,3,2,1
"8",1,2,3,1,3,1,2,2,2
"9",1,3,2,1,1,3,3,3,2
"10",3,3,3,3,1,1,3,2,2
"11",3,1,1,3,2,1,1,2,1
"12",3,3,1,3,2,3,2,1,3
"13",3,2,3,1,3,2,3,3,1
"14",2,1,1,1,1,3,1,1,1
"15",2,2,1,3,1,3,3,3,1
"16",2,1,2,2,2,2,2,2,2
"17",3,3,2,1,3,1,1,3,2
"18",3,1,3,1,1,3,2,3,3
"19",2,3,3,1,2,1,1,1,1
"20",3,3,1,2,1,2,2,1,2
"21",3,2,3,2,2,2,1,1,2
"22",1,2,2,3,3,3,2,1,1
"23",1,1,3,3,2,3,3,1,2
"24",1,1,1,2,3,1,2,3,2
"25",3,1,2,2,1,1,3,1,1
"26",1,3,1,2,3,2,3,1,1
"27",1,3,3,3,2,1,2,3,1
"28",1,2,2,3,1,1,1,1,3
"29",2,3,1,2,1,1,1,3,3
"30",2,2,3,1,1,2,3,1,3
"31",2,2,2,2,3,3,3,2,3
"32",2,2,3,3,1,2,1,2,2
"33",3,2,2,3,2,2,3,3,3
"34",3,1,3,2,3,1,2,1,3
"35",2,3,2,3,3,2,1,2,1
"36",2,3,2,1,2,3,2,1,2
"37",3,1,1,1,2,2,3,2,2
"38",1,3,1,1,2,1,3,2,3
"39",2,3,3,3,3,2,2,3,3
"40",1,1,3,2,1,2,1,3,1
"41",1,1,2,1,3,2,1,1,3
"42",3,3,2,2,1,3,2,2,1
"43",1,1,1,3,1,2,2,2,3
"44",3,1,2,3,3,3,1,3,2
"45",2,2,1,3,3,1,3,1,2
