"","V1","V2","V3","V4","V5","V6","V7"
"1",3,6,4,2,3,3,6
"2",3,3,6,3,2,6,2
"3",6,3,4,3,5,5,6
"4",2,6,3,4,3,6,1
"5",1,5,3,5,5,4,6
"6",1,3,6,6,4,3,1
"7",6,4,1,3,1,4,3
"8",1,4,2,3,4,5,5
"9",2,1,4,5,4,1,6
"10",2,3,6,1,3,4,6
"11",4,1,2,6,3,4,2
"12",4,5,1,4,6,1,6
"13",4,6,6,5,1,5,3
"14",6,3,2,5,3,2,5
"15",5,2,6,4,5,2,4
"16",2,2,2,4,6,4,3
"17",3,2,5,6,6,5,5
"18",4,4,3,1,2,2,5
"19",3,4,5,5,3,1,2
"20",2,5,2,1,1,3,2
"21",1,1,5,5,2,4,4
"22",5,2,2,2,2,6,6
"23",5,5,5,1,3,4,1
"24",2,5,6,2,6,2,3
"25",2,5,1,6,2,5,4
"26",3,2,1,1,5,3,5
"27",4,2,6,2,1,1,4
"28",3,4,2,3,5,1,1
"29",6,5,6,4,4,6,5
"30",4,1,5,3,6,3,1
"31",6,2,3,6,2,1,2
"32",5,3,3,1,4,1,3
"33",5,1,1,3,3,3,4
"34",4,6,1,2,4,5,2
"35",4,4,4,6,5,6,3
"36",1,6,5,3,2,1,5
"37",1,1,3,2,5,2,2
"38",2,2,4,2,1,5,1
"39",1,4,4,1,6,6,4
"40",5,6,4,5,5,3,2
"41",6,5,4,4,2,2,1
"42",3,6,2,6,4,2,4
"43",6,6,3,2,6,4,4
"44",5,3,1,5,6,6,1
"45",3,1,3,4,1,6,5
"46",6,1,5,1,4,5,3
"47",1,3,1,4,1,2,3
"48",5,4,5,6,1,3,6
