"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",2,1,4,1,3,1,3,1,2,2,3,4,4,3
"2",2,2,3,2,4,1,4,1,3,2,4,2,1,1
"3",4,3,1,4,3,2,1,1,4,2,4,3,2,3
"4",3,3,4,2,4,2,2,4,1,4,4,3,3,1
"5",1,3,3,4,4,4,1,4,2,1,3,3,2,2
"6",2,1,2,4,4,3,3,3,4,4,4,1,2,2
"7",2,3,4,3,4,3,4,2,1,1,3,1,3,4
"8",4,1,3,1,3,2,2,3,2,1,3,1,1,4
"9",4,3,4,2,1,4,3,2,4,3,3,4,4,2
"10",4,4,3,3,3,4,1,1,2,4,3,1,2,2
"11",3,4,1,1,4,1,2,2,3,3,1,4,2,2
"12",3,4,3,1,3,3,3,3,1,1,4,2,4,1
"13",1,2,4,1,3,4,2,4,4,3,2,2,2,4
"14",2,1,1,2,1,3,3,4,1,2,1,1,2,3
"15",1,1,3,3,4,3,1,2,3,2,2,4,1,4
"16",1,4,3,4,1,3,3,1,3,3,1,1,3,3
"17",4,2,3,4,4,1,3,4,3,3,1,2,3,4
"18",3,3,3,1,1,1,4,4,4,2,2,1,3,2
"19",1,4,2,3,3,1,1,3,1,2,2,1,4,3
"20",4,2,1,3,1,2,3,2,1,1,2,4,3,1
"21",4,4,2,3,4,4,4,3,4,2,2,4,3,3
"22",3,3,2,1,1,2,1,1,2,2,1,3,4,4
"23",3,1,2,2,2,1,1,4,3,1,4,4,3,3
"24",4,1,4,4,2,4,2,2,1,2,4,2,3,3
"25",3,3,4,3,4,2,3,1,1,4,1,2,1,3
"26",3,2,1,4,3,3,2,3,3,4,3,4,4,4
"27",2,4,1,2,2,4,3,2,4,1,3,2,1,4
"28",1,4,4,2,2,1,4,3,2,4,2,4,2,4
"29",2,2,2,4,1,1,2,2,1,4,2,3,1,4
"30",1,2,1,1,4,2,3,3,4,1,4,3,3,3
"31",1,2,4,2,1,2,1,2,2,3,4,1,2,1
"32",2,2,2,2,4,4,2,1,3,1,1,1,4,2
"33",4,1,3,1,2,3,3,1,4,4,2,3,2,1
"34",2,4,4,4,3,2,1,2,4,3,2,3,4,1
"35",4,2,1,3,3,1,4,4,1,3,3,2,1,2
"36",3,1,2,2,3,4,4,1,1,3,1,3,2,4
"37",4,3,2,2,2,2,4,2,3,4,4,1,4,4
"38",2,2,3,1,2,4,1,3,1,4,1,4,3,2
"39",2,4,1,3,2,3,2,4,2,3,4,3,4,4
"40",3,2,3,4,1,4,4,3,2,3,4,4,1,3
"41",3,4,2,4,2,1,4,1,2,1,3,3,2,1
"42",1,1,3,4,2,2,4,3,2,1,1,2,4,2
"43",1,3,2,1,2,3,2,1,1,2,4,4,1,2
"44",1,3,2,3,3,2,3,4,4,3,1,4,1,1
"45",4,4,4,2,1,3,2,3,3,1,1,3,1,2
"46",1,1,1,3,1,1,2,1,4,4,3,2,3,2
"47",3,2,4,3,2,1,1,2,4,1,1,1,2,3
"48",1,3,1,1,3,4,4,2,2,4,2,2,3,1
"49",2,1,4,3,1,3,4,4,3,2,3,3,4,1
"50",4,1,1,2,4,3,1,3,2,3,2,2,4,1
"51",2,4,2,1,1,2,1,4,3,4,3,2,1,3
"52",3,3,1,4,2,4,2,4,3,2,2,1,1,1
