"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,6,5,6,4,5,1,4,2,3
"2",4,2,6,1,6,2,3,1,5,3
"3",1,3,1,1,5,4,2,2,1,2
"4",4,1,2,5,4,4,5,1,1,6
"5",5,1,3,1,1,3,3,5,2,5
"6",4,4,2,6,1,4,2,5,3,1
"7",2,5,1,5,2,6,3,3,1,5
"8",6,2,2,3,5,1,3,4,6,1
"9",3,2,1,5,4,6,3,5,6,2
"10",2,1,4,2,6,4,6,4,3,2
"11",3,5,3,4,3,1,1,6,1,2
"12",1,1,3,3,3,4,2,6,6,4
"13",1,5,6,1,2,4,4,5,3,3
"14",1,2,5,3,2,2,5,4,2,6
"15",5,4,4,1,5,5,2,6,6,3
"16",6,5,5,1,4,5,3,3,3,1
"17",2,4,4,2,1,2,3,4,1,1
"18",1,1,4,5,2,1,2,3,4,1
"19",5,6,4,5,4,1,2,2,6,5
"20",6,1,5,5,5,4,6,5,5,4
"21",5,2,5,4,3,3,5,6,1,1
"22",2,3,1,4,1,5,6,6,2,3
"23",5,4,1,2,4,1,5,5,3,6
"24",3,3,5,6,1,1,4,6,5,5
"25",1,4,5,3,4,6,5,1,5,4
"26",4,6,6,3,5,6,4,6,2,5
"27",3,2,5,2,1,6,1,2,4,4
"28",3,1,6,4,5,3,3,3,1,5
"29",6,2,2,6,2,3,6,2,3,3
"30",4,1,1,3,1,1,4,1,4,3
"31",2,6,1,1,2,3,5,4,6,4
"32",2,5,4,6,5,3,3,1,4,6
"33",6,3,3,2,2,6,5,4,5,2
"34",1,3,3,4,6,2,6,3,6,5
"35",1,5,2,5,6,3,4,6,5,3
"36",5,3,6,3,2,5,2,1,1,4
"37",4,6,5,3,6,3,1,5,4,2
"38",5,2,1,6,5,2,1,4,2,4
"39",3,3,6,2,4,2,6,6,4,1
"40",6,4,1,3,6,4,1,2,5,5
"41",1,6,2,2,3,2,2,1,3,5
"42",6,6,4,4,1,4,4,1,2,2
"43",3,4,3,4,2,3,1,1,6,1
"44",2,4,6,5,5,1,5,2,2,2
"45",5,3,3,5,6,6,4,1,3,1
"46",3,2,2,1,3,5,4,2,5,6
"47",2,2,4,4,6,6,2,5,3,6
"48",4,5,5,2,1,4,6,3,6,6
"49",5,4,4,6,3,6,6,4,4,5
"50",6,6,2,4,2,5,3,6,4,6
"51",2,3,3,1,4,1,1,5,4,6
"52",6,3,6,5,3,3,1,3,3,6
"53",3,6,2,3,5,5,6,2,4,1
"54",6,5,3,2,6,2,4,3,1,4
"55",5,5,6,4,1,2,2,4,5,3
"56",3,4,3,6,6,5,5,5,1,4
"57",4,5,4,1,3,1,6,2,2,4
"58",2,1,6,6,3,5,4,2,6,2
"59",4,6,1,6,3,2,5,3,5,2
"60",4,1,2,2,4,6,1,3,2,3
