"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",12,9,5,3,4,12,9,12,11,9,10,12
"2",8,2,14,6,13,1,8,1,14,8,7,14
"3",14,1,2,1,1,6,7,7,6,6,1,4
"4",6,12,7,12,2,5,2,5,9,11,5,13
"5",13,5,8,11,11,3,4,11,10,1,9,5
"6",3,4,10,8,5,8,11,10,12,12,3,2
"7",4,3,3,10,10,10,5,8,3,10,13,11
"8",5,10,6,4,12,4,10,9,2,3,4,9
"9",10,6,11,9,3,7,12,3,5,2,12,10
"10",7,13,1,7,7,2,14,14,7,14,14,6
"11",9,7,13,14,6,14,1,13,1,7,2,8
"12",1,8,4,13,14,13,13,4,8,5,8,1
"13",11,11,9,5,9,11,6,2,4,13,6,3
"14",2,14,12,2,8,9,3,6,13,4,11,7
