"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",13,10,16,14,13,15,12,14,10,12
"2",17,9,2,6,8,12,7,17,6,5
"3",16,16,13,8,15,4,11,7,1,6
"4",12,18,1,12,9,1,1,8,11,15
"5",1,17,14,13,3,10,17,16,14,4
"6",6,8,15,4,7,2,16,2,8,9
"7",8,11,18,5,18,6,5,18,18,18
"8",18,1,9,18,17,13,18,1,7,16
"9",14,15,5,3,2,14,9,3,15,11
"10",10,3,17,11,4,16,4,5,3,1
"11",11,2,7,2,11,5,13,13,12,2
"12",5,12,6,15,14,8,6,4,9,3
"13",15,7,11,17,6,7,3,11,16,8
"14",2,14,10,1,12,18,2,12,4,10
"15",7,6,3,10,16,17,15,9,17,7
"16",4,5,4,16,1,3,10,15,2,13
"17",9,13,8,9,5,9,14,10,5,17
"18",3,4,12,7,10,11,8,6,13,14
