"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",2,14,10,10,1,11,19,11,19,13,20,12,6,1,17,20,2,11
"2",9,17,2,1,19,19,20,9,11,1,12,20,20,10,20,10,11,12
"3",3,2,14,9,7,3,18,19,8,2,2,11,17,9,11,2,16,8
"4",4,15,18,6,8,13,3,14,3,11,13,17,14,16,6,18,14,17
"5",5,10,19,14,15,6,2,6,13,5,19,2,2,8,12,11,19,15
"6",13,13,13,16,16,5,8,17,14,17,14,13,16,14,18,3,6,19
"7",12,8,9,20,13,12,17,18,2,18,8,18,5,5,5,9,20,13
"8",10,7,11,19,9,15,7,2,18,8,7,6,19,18,19,19,17,9
"9",7,6,7,3,14,4,4,5,5,15,3,15,7,12,16,15,7,6
"10",8,16,16,17,4,9,14,8,15,6,4,16,4,15,3,6,9,3
"11",14,5,8,4,6,14,13,13,6,4,15,3,3,17,14,4,5,14
"12",17,18,5,15,5,8,15,7,7,16,5,5,15,7,13,17,12,16
"13",19,3,12,2,2,2,9,3,16,9,11,19,9,2,9,8,13,18
"14",15,19,17,7,17,16,6,12,9,12,6,9,8,3,15,5,18,2
"15",6,4,3,18,3,18,5,15,12,14,17,7,13,6,7,7,8,7
"16",18,12,15,13,12,17,12,4,4,3,16,14,18,4,8,14,4,5
"17",1,11,1,11,20,10,10,1,1,20,10,1,10,20,10,1,10,1
"18",20,20,4,12,10,1,1,20,10,10,9,10,1,19,1,12,3,10
"19",16,9,6,5,18,7,16,16,17,7,18,8,12,13,4,16,15,4
"20",11,1,20,8,11,20,11,10,20,19,1,4,11,11,2,13,1,20
