"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",4,17,23,9,9,23,10,9,7,4,21,5,20,20,17,4,3,16,9,14,18
"2",21,6,17,17,19,20,7,8,6,9,5,15,5,18,21,7,21,5,18,19,11
"3",23,8,21,19,5,9,17,10,5,15,11,3,16,3,3,22,18,17,21,10,20
"4",1,1,12,11,1,1,25,12,12,1,13,13,1,1,12,1,14,1,13,2,14
"5",15,12,22,20,22,2,12,2,22,2,16,24,11,9,14,18,5,7,15,25,21
"6",18,4,14,3,16,21,22,16,11,21,20,21,10,4,22,21,7,20,8,17,17
"7",3,2,20,14,7,16,8,18,19,17,6,16,19,6,7,16,4,6,3,16,6
"8",2,10,3,10,10,15,9,22,24,16,15,23,6,10,19,8,20,22,22,7,19
"9",5,19,19,6,23,4,16,20,10,19,4,9,4,15,10,15,22,18,11,20,24
"10",24,13,1,1,13,14,23,1,13,14,2,14,25,25,13,13,1,2,24,13,25
"11",12,3,8,15,15,11,20,24,18,3,10,4,17,22,23,9,17,12,4,24,23
"12",20,15,16,21,3,22,24,21,21,11,22,8,23,11,11,10,15,23,16,21,5
"13",13,25,25,13,24,12,2,14,14,6,25,12,13,2,24,14,25,25,25,12,1
"14",6,5,7,22,20,6,4,19,8,10,23,20,24,23,8,17,11,15,17,9,15
"15",16,20,6,23,17,19,11,7,16,18,24,11,2,7,6,2,16,10,2,11,22
"16",10,9,18,2,21,24,14,15,23,24,12,10,14,24,2,5,10,11,20,4,2
"17",9,22,11,18,11,7,15,4,9,23,9,18,22,8,20,3,9,19,23,22,7
"18",14,16,24,24,8,10,18,17,3,22,19,19,8,21,15,12,19,3,5,3,8
"19",25,24,13,12,25,25,13,25,1,13,1,25,18,13,16,25,13,13,1,1,12
"20",22,7,10,8,12,3,5,5,17,20,18,7,21,14,18,20,23,9,10,6,3
"21",19,23,15,4,4,8,6,3,20,5,7,17,9,19,4,11,12,21,6,8,16
"22",7,21,5,5,6,18,19,11,15,8,17,22,15,17,5,23,24,8,19,23,10
"23",17,18,2,7,14,5,3,23,2,12,14,2,12,5,1,6,8,4,12,18,9
"24",11,14,9,25,2,13,1,13,25,25,3,1,3,16,25,24,2,14,14,15,13
"25",8,11,4,16,18,17,21,6,4,7,8,6,7,12,9,19,6,24,7,5,4
