"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",13,5,14,25,12,2,4,26,2,17,8,5,20,19
"2",6,25,15,4,17,6,5,6,18,8,20,15,22,9
"3",18,16,4,3,6,10,2,17,6,22,21,10,9,11
"4",8,15,7,7,25,15,19,12,14,18,7,4,19,7
"5",2,12,8,14,1,24,1,2,25,24,1,22,21,14
"6",25,26,3,20,20,26,10,20,21,15,13,3,13,10
"7",24,11,20,5,16,25,16,13,4,16,24,18,18,21
"8",1,2,23,16,3,4,20,8,9,14,19,2,11,13
"9",15,13,18,12,26,1,7,14,26,1,26,1,1,1
"10",3,9,25,9,22,20,3,19,11,9,11,12,4,18
"11",9,21,11,11,7,21,12,4,5,3,15,6,14,23
"12",10,6,21,10,8,12,11,22,23,19,17,20,15,6
"13",17,23,24,18,10,19,8,9,8,20,6,14,25,2
"14",21,20,13,13,23,5,18,21,10,25,16,24,24,17
"15",14,22,5,8,9,3,23,10,22,13,10,19,3,20
"16",5,18,19,19,15,8,15,16,19,23,3,9,8,22
"17",12,24,22,1,18,17,22,23,1,5,2,26,10,12
"18",7,19,12,24,4,23,17,25,12,12,25,16,5,5
"19",23,14,17,23,5,14,6,11,16,6,9,23,12,16
"20",20,7,10,15,21,9,13,3,3,10,5,17,7,8
"21",11,3,6,21,19,16,9,7,13,21,22,25,2,24
"22",16,8,9,17,11,18,21,18,20,7,23,8,23,15
"23",4,10,2,22,14,7,25,15,7,2,14,21,17,3
"24",26,1,1,6,2,11,14,24,15,4,4,13,26,26
"25",19,17,26,26,24,13,26,1,24,11,18,11,16,25
"26",22,4,16,2,13,22,24,5,17,26,12,7,6,4
