"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",15,16,2,25,26,3,2,7,6,15,17,25,18,12,17,12,19,23,16,5
"2",21,8,10,7,11,11,5,8,18,21,21,8,8,20,22,8,21,6,5,7
"3",19,12,4,23,17,22,21,4,17,3,10,18,17,17,21,21,6,8,7,19
"4",2,13,25,14,13,26,26,2,15,14,26,1,13,1,12,13,26,26,2,12
"5",24,22,15,9,18,8,25,18,16,4,23,19,3,9,19,17,14,18,24,2
"6",1,26,13,16,14,13,1,26,1,1,15,13,26,14,26,25,25,1,13,13
"7",25,7,7,13,12,21,3,24,12,17,22,20,20,6,5,4,4,15,15,24
"8",17,2,14,2,10,1,14,1,3,13,1,2,2,13,18,18,1,14,12,26
"9",26,17,1,26,2,10,13,15,13,25,13,4,1,4,1,26,13,12,3,15
"10",11,5,20,24,23,12,19,14,26,9,20,10,25,2,23,6,15,16,9,25
"11",3,3,8,19,15,6,9,17,10,5,6,22,7,24,10,10,18,19,4,20
"12",6,19,3,3,24,24,12,25,21,12,19,9,5,15,9,14,17,7,21,22
"13",10,14,22,8,21,5,6,19,11,8,9,7,19,7,8,19,3,5,6,6
"14",13,1,26,1,1,14,10,12,14,2,25,26,16,16,14,1,9,2,26,14
"15",16,18,23,18,6,4,23,21,20,24,8,17,10,11,15,5,23,4,14,23
"16",9,4,12,15,20,16,17,5,19,18,3,24,9,5,2,24,16,3,17,3
"17",22,23,16,17,19,7,8,3,24,10,12,6,12,19,3,3,8,25,18,17
"18",14,11,21,10,3,23,7,23,25,16,11,23,4,25,24,20,12,22,11,11
"19",18,24,6,4,5,17,15,11,23,7,2,15,21,8,6,11,24,21,8,10
"20",7,21,19,5,9,9,24,6,7,19,18,21,23,23,4,15,11,9,10,18
"21",5,20,17,22,7,20,4,9,8,11,5,14,6,3,20,7,7,10,22,9
"22",8,9,5,6,16,15,22,20,4,22,7,5,15,10,25,9,10,24,23,16
"23",12,25,9,11,25,25,18,13,2,26,14,16,11,26,13,2,2,13,1,1
"24",23,15,24,12,22,18,11,10,9,20,4,11,24,22,16,23,22,17,25,21
"25",20,6,18,20,4,19,20,22,5,6,16,3,14,21,7,16,20,11,19,4
"26",4,10,11,21,8,2,16,16,22,23,24,12,22,18,11,22,5,20,20,8
