"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",17,18,22,5,2,22,13,11,9,4,10,4,26,12,26,12,13
"2",2,14,10,26,20,24,18,14,2,7,2,3,14,21,6,20,22
"3",12,27,13,12,9,26,11,5,25,13,1,26,22,24,12,1,10
"4",20,5,6,21,12,20,24,23,8,18,8,17,12,23,25,7,12
"5",21,21,5,6,19,4,22,12,23,11,7,23,8,9,15,19,16
"6",14,12,27,1,14,14,27,1,12,1,14,27,11,27,19,27,27
"7",8,23,15,24,6,15,20,24,21,5,12,10,4,5,17,4,21
"8",18,15,12,27,13,1,1,20,26,27,6,9,27,14,22,25,1
"9",13,17,7,23,16,8,14,3,6,26,16,22,25,4,4,8,18
"10",16,19,8,10,17,11,4,22,15,6,24,6,9,25,8,10,7
"11",10,10,21,3,11,2,23,17,3,12,26,12,16,10,3,3,8
"12",6,13,11,4,24,21,16,13,19,25,21,21,3,18,21,6,5
"13",1,6,9,7,1,13,2,4,27,14,27,15,13,3,27,14,20
"14",4,20,4,15,8,19,25,8,11,21,18,7,17,7,13,23,4
"15",27,1,14,8,15,27,15,27,14,16,17,1,1,1,1,26,14
"16",24,24,26,18,25,25,3,16,1,10,15,18,15,2,16,9,2
"17",25,9,3,19,10,5,10,10,18,9,19,2,18,17,20,5,25
"18",22,2,16,25,22,17,26,6,20,3,23,16,23,13,9,16,9
"19",15,11,23,20,7,23,7,19,22,20,20,25,10,11,7,18,19
"20",11,26,1,2,27,18,8,26,16,19,9,14,19,15,2,15,26
"21",7,3,2,14,4,7,5,15,4,2,11,20,2,16,10,24,11
"22",26,16,25,17,3,9,19,2,17,17,3,13,5,19,5,13,3
"23",3,4,24,13,26,6,21,18,24,22,13,5,24,26,14,11,17
"24",9,25,20,22,23,3,9,7,10,15,22,11,7,22,24,22,15
"25",5,8,19,16,18,10,12,25,13,8,4,24,20,6,23,17,6
"26",19,7,18,11,21,16,6,9,7,24,5,8,6,8,11,2,24
"27",23,22,17,9,5,12,17,21,5,23,25,19,21,20,18,21,23
