"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",26,14,3,15,26,6,12,2,27,22,13,1,21,4,26,13,20,10,15,15,9,26
"2",18,2,5,21,8,17,3,25,13,17,24,5,19,9,18,10,23,18,7,3,26,15
"3",2,26,2,13,19,1,14,10,3,2,15,25,2,13,13,12,15,13,1,1,27,10
"4",24,5,10,19,18,25,24,8,4,20,23,20,13,22,11,6,4,11,18,7,10,20
"5",12,17,27,26,9,16,18,1,7,26,2,13,16,15,16,20,13,2,2,4,6,24
"6",25,18,26,23,4,19,11,16,24,4,12,23,20,17,20,5,9,17,22,10,19,7
"7",6,10,22,20,24,8,4,6,15,19,22,22,8,12,21,21,11,20,23,25,3,13
"8",17,8,4,25,15,12,9,15,12,27,16,16,3,2,2,26,6,4,19,13,23,2
"9",23,3,23,6,10,4,20,20,9,5,20,21,18,6,15,22,18,8,11,23,11,4
"10",8,25,11,18,16,24,25,5,19,12,9,19,17,3,23,24,22,22,6,12,17,3
"11",15,15,19,1,2,18,26,14,2,9,27,14,1,1,27,14,27,14,27,14,1,16
"12",11,9,21,10,20,9,23,18,5,24,7,6,22,10,5,8,19,23,24,8,18,8
"13",7,7,17,12,6,7,5,11,8,11,8,18,23,25,24,9,7,7,5,18,22,21
"14",10,13,7,4,13,23,2,13,26,25,19,15,25,20,10,2,16,16,3,22,4,5
"15",13,22,13,5,23,2,13,24,16,15,26,11,15,26,25,3,12,3,21,2,15,1
"16",9,6,8,11,11,11,19,23,25,7,6,2,5,19,22,23,3,15,16,6,5,11
"17",16,19,20,17,22,15,22,4,21,8,25,4,26,18,9,17,5,6,10,21,25,9
"18",1,11,1,16,1,13,27,17,17,14,1,27,14,16,1,1,26,1,13,26,13,14
"19",21,24,24,9,25,21,6,21,18,16,5,17,9,7,6,11,2,9,4,11,7,12
"20",4,21,16,24,5,3,21,22,22,23,18,9,4,5,12,7,8,21,9,17,12,19
"21",3,20,25,2,17,26,10,19,10,21,11,3,12,21,17,25,25,12,17,19,24,18
"22",27,27,15,14,14,14,1,27,1,13,14,12,27,14,14,27,1,27,26,27,14,27
"23",19,23,9,22,7,5,8,9,6,10,3,8,10,23,7,16,21,19,20,20,8,6
"24",14,1,14,27,27,27,16,26,14,1,10,26,24,27,4,15,14,26,14,16,2,17
"25",20,12,6,3,21,20,17,7,11,6,4,10,6,8,19,4,10,24,12,24,20,23
"26",22,16,18,8,12,10,15,12,23,18,21,24,7,24,3,19,24,25,8,5,21,25
"27",5,4,12,7,3,22,7,3,20,3,17,7,11,11,8,18,17,5,25,9,16,22
