"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",22,8,2,7,22,2,7,25,4
"2",15,3,21,6,10,22,6,16,10
"3",1,1,24,15,27,8,11,20,26
"4",20,10,6,24,7,17,12,18,21
"5",7,25,17,4,8,9,21,19,5
"6",6,7,19,23,25,24,19,3,19
"7",3,22,11,8,6,18,8,4,22
"8",26,12,13,3,13,26,3,10,27
"9",8,17,4,13,16,23,10,21,16
"10",25,4,12,19,17,6,22,17,15
"11",10,2,5,1,18,14,15,2,1
"12",9,21,20,27,19,1,5,14,23
"13",11,14,25,20,5,27,26,22,2
"14",4,11,26,9,20,16,23,12,12
"15",13,26,14,21,23,15,4,24,13
"16",18,13,23,22,15,10,9,5,7
"17",23,18,22,2,1,13,17,23,18
"18",2,16,10,25,12,4,16,27,9
"19",12,9,15,11,4,3,14,8,14
"20",16,15,7,5,24,7,27,7,20
"21",5,6,8,17,2,12,2,13,6
"22",19,23,9,10,26,25,18,15,8
"23",17,5,16,12,14,20,25,26,24
"24",14,20,1,18,11,11,20,11,25
"25",24,19,18,16,21,19,13,9,3
"26",27,27,3,26,3,21,24,6,11
"27",21,24,27,14,9,5,1,1,17
