"","V1","V2","V3","V4","V5","V6"
"1",22,24,12,25,6,13
"2",8,12,6,23,3,8
"3",20,20,24,14,2,26
"4",10,21,27,24,17,1
"5",3,23,2,28,25,21
"6",29,25,25,10,22,7
"7",24,28,5,2,18,28
"8",26,18,3,19,9,5
"9",19,5,8,27,28,3
"10",16,19,15,3,24,9
"11",9,6,26,6,26,25
"12",11,2,4,12,21,14
"13",15,26,7,16,13,18
"14",23,4,29,17,14,10
"15",12,27,17,8,4,4
"16",17,9,1,9,7,22
"17",2,1,19,21,8,29
"18",28,10,16,26,16,24
"19",25,13,18,13,27,16
"20",21,11,21,5,12,2
"21",4,8,13,15,19,6
"22",14,7,23,29,10,15
"23",7,22,14,11,11,23
"24",18,17,20,22,20,20
"25",6,29,22,20,29,12
"26",13,14,10,18,23,27
"27",27,3,11,4,1,19
"28",5,15,28,1,5,17
"29",1,16,9,7,15,11
