"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",9,18,11,9,25,1,27,23
"2",2,11,15,24,1,5,1,29
"3",17,29,7,8,17,17,2,9
"4",21,13,12,10,2,21,11,6
"5",20,21,23,21,21,3,16,8
"6",5,2,18,13,27,8,12,10
"7",3,20,10,4,9,15,14,15
"8",23,22,17,14,11,27,25,28
"9",10,12,16,23,16,20,20,13
"10",19,4,14,2,20,25,6,21
"11",7,7,24,7,5,29,18,19
"12",18,16,5,20,4,12,23,22
"13",12,8,6,16,23,16,15,27
"14",13,25,21,1,3,9,29,12
"15",16,14,28,5,15,6,10,26
"16",24,9,1,12,7,2,4,14
"17",28,10,19,6,19,11,24,4
"18",25,23,2,3,29,19,19,1
"19",27,1,22,22,8,18,8,24
"20",26,27,13,17,13,7,17,18
"21",4,5,4,18,14,24,28,7
"22",22,6,27,26,26,14,26,16
"23",29,15,8,28,24,28,9,11
"24",14,19,20,19,28,23,3,17
"25",11,26,29,25,6,26,13,5
"26",8,17,25,15,12,13,5,2
"27",6,24,3,27,18,10,7,20
"28",1,28,26,11,22,22,22,25
"29",15,3,9,29,10,4,21,3
