"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",22,26,19,25,7,5,8,9,5,10,21,24,12,19,8,10,6,24,26,22,20,25,22,6,10,25,6,24,21
"2",9,24,8,20,6,8,23,5,11,5,26,9,14,18,19,21,24,21,9,6,6,8,24,8,26,6,20,6,26
"3",26,15,10,17,20,4,2,2,3,29,12,2,2,2,22,13,14,22,19,13,17,21,3,29,29,2,14,14,18
"4",8,22,23,8,26,25,7,8,25,22,10,25,9,24,25,14,26,23,14,23,23,5,7,5,11,9,21,8,10
"5",30,19,15,14,1,16,16,1,30,16,15,30,30,14,15,17,30,10,1,30,30,15,30,15,14,1,1,16,30
"6",11,13,14,6,13,3,20,25,26,26,24,28,6,22,11,23,20,13,29,14,28,27,20,26,22,26,23,3,17
"7",24,27,7,5,24,12,27,13,18,21,22,22,18,8,26,7,12,4,25,27,4,14,25,25,5,11,24,11,20
"8",19,23,24,19,23,9,9,22,8,20,5,6,23,13,3,25,9,9,21,20,27,6,23,20,23,7,9,4,6
"9",6,12,13,18,22,21,22,4,28,7,25,3,26,23,20,11,8,12,23,17,7,7,8,24,7,24,8,25,5
"10",28,21,11,9,3,20,28,24,4,8,7,7,20,27,24,6,22,3,20,11,24,28,19,9,17,18,19,21,9
"11",10,18,25,24,4,7,5,26,24,24,11,17,24,9,23,4,7,14,6,8,8,26,13,22,12,10,22,26,27
"12",1,29,16,15,15,1,30,15,16,30,2,16,22,16,2,18,28,15,30,1,16,16,2,2,3,15,16,29,1
"13",16,30,29,16,2,30,15,14,29,1,16,1,15,1,1,16,15,30,16,16,1,30,15,16,1,16,30,1,15
"14",17,5,17,26,9,22,14,20,21,18,3,10,4,21,12,8,18,6,22,24,3,12,4,7,28,3,27,28,22
"15",13,25,9,3,18,26,19,23,6,13,14,27,7,6,10,27,11,11,8,5,5,22,6,10,8,5,7,22,7
"16",20,4,28,27,21,23,26,28,23,14,27,19,28,4,18,19,29,25,24,12,12,23,21,4,20,8,10,13,12
"17",27,7,6,7,5,14,13,19,27,23,23,20,21,10,9,9,4,27,12,7,19,9,5,11,27,20,11,5,3
"18",15,16,30,1,30,15,29,16,2,17,1,21,13,30,16,15,1,18,2,15,9,1,29,17,30,30,15,30,16
"19",14,11,1,29,16,29,11,3,15,3,4,23,16,20,14,3,2,17,18,4,29,20,27,30,16,13,28,12,4
"20",29,17,12,30,29,2,1,30,17,12,30,14,8,15,13,30,19,29,15,29,2,2,14,18,13,19,18,18,2
"21",21,8,21,12,12,11,18,10,7,4,8,26,27,11,27,26,23,26,11,26,10,17,12,27,25,23,26,27,8
"22",4,2,2,21,11,17,12,18,14,15,13,29,19,29,29,29,17,28,28,10,22,3,17,23,2,4,12,20,23
"23",3,14,20,28,14,27,21,17,9,19,29,4,17,7,28,22,3,1,13,25,21,24,1,14,15,29,17,9,28
"24",12,6,5,22,28,19,24,12,13,27,20,8,11,12,4,5,25,20,4,28,25,29,9,21,21,12,4,23,14
"25",18,28,22,13,8,24,10,11,19,28,28,12,3,28,21,28,5,2,3,2,14,10,18,28,19,17,3,17,13
"26",7,20,27,4,17,18,3,7,12,11,19,13,29,5,7,2,21,8,27,3,18,4,11,13,24,28,29,15,19
"27",25,9,26,23,25,10,25,6,22,6,9,18,5,26,6,24,13,5,7,9,26,18,10,12,4,21,13,10,24
"28",2,1,18,2,27,13,17,29,1,2,17,15,1,17,30,1,10,16,17,18,15,13,16,1,18,14,2,2,29
"29",5,3,3,11,10,6,4,21,20,9,6,11,10,3,17,12,27,7,10,21,13,19,26,19,6,27,5,7,11
"30",23,10,4,10,19,28,6,27,10,25,18,5,25,25,5,20,16,19,5,19,11,11,28,3,9,22,25,19,25
