"","V1","V2","V3","V4"
"1",21,26,1,24
"2",19,8,11,16
"3",2,16,5,27
"4",29,12,7,5
"5",1,10,22,14
"6",15,23,9,10
"7",28,7,26,26
"8",17,21,3,1
"9",3,25,12,3
"10",24,19,10,29
"11",23,6,21,2
"12",16,1,18,28
"13",6,5,8,21
"14",27,18,19,9
"15",14,17,24,19
"16",13,4,16,6
"17",4,2,29,11
"18",7,27,25,30
"19",30,28,15,20
"20",25,24,28,15
"21",5,20,17,17
"22",18,13,30,22
"23",26,3,4,18
"24",22,14,14,12
"25",12,11,13,25
"26",8,9,2,8
"27",10,15,27,4
"28",9,22,20,23
"29",11,30,6,13
"30",20,29,23,7
