"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",13,28,12,28,21,26,22,26,11,22,6,25,25,21,8,6,21,23,26,19,3,8,19,24,11,7,8,20,25,3
"2",14,13,20,6,30,30,13,12,3,24,4,2,4,9,3,27,14,26,30,14,14,25,18,10,3,19,17,28,15,29
"3",23,23,11,10,5,4,3,7,25,26,8,13,5,10,9,5,20,25,7,29,20,6,8,7,19,5,19,12,19,11
"4",27,29,4,11,4,24,23,8,20,21,28,4,13,26,28,26,17,12,28,4,27,11,13,27,10,13,21,19,8,19
"5",10,3,22,9,25,10,26,19,13,29,19,20,8,29,14,25,26,28,14,7,22,3,2,25,6,22,4,9,20,14
"6",12,22,7,26,27,23,5,25,24,28,22,24,7,13,23,24,3,22,22,28,19,21,27,21,26,14,14,6,4,22
"7",2,25,15,17,13,15,30,14,18,16,1,30,14,2,30,30,8,30,18,17,17,17,5,4,31,2,2,21,30,20
"8",30,4,24,22,18,27,19,23,5,27,27,10,18,8,20,14,24,4,5,20,18,7,7,9,24,11,7,22,5,27
"9",28,7,23,5,7,6,17,27,29,19,24,28,6,20,7,19,11,11,24,22,9,18,4,20,27,23,20,24,27,7
"10",3,30,2,14,17,2,21,30,2,1,3,17,3,19,19,21,22,15,4,10,24,19,26,15,22,15,30,30,23,17
"11",4,5,3,21,29,28,12,4,27,14,10,11,26,22,12,13,10,6,20,8,23,20,6,8,7,12,13,7,29,9
"12",29,11,19,13,28,18,6,22,12,18,21,21,21,11,2,2,2,13,10,2,30,13,28,12,2,3,29,18,26,18
"13",25,10,14,3,24,22,27,18,15,5,7,23,9,18,22,10,29,8,29,11,10,27,12,3,20,4,24,5,3,12
"14",15,17,16,15,19,16,1,31,31,31,16,15,31,1,31,15,16,1,31,16,31,31,1,31,16,17,31,16,14,1
"15",5,8,9,7,6,25,8,10,6,13,26,27,20,4,27,9,18,19,6,5,13,28,21,22,23,20,5,11,21,6
"16",21,9,8,4,12,12,10,28,26,6,18,9,24,24,24,4,23,24,23,18,21,14,23,5,4,27,3,27,9,21
"17",17,1,1,1,16,1,2,1,1,17,17,31,17,31,17,17,1,18,17,15,1,1,15,16,15,1,16,15,1,31
"18",6,27,5,19,10,8,25,20,8,25,20,7,11,6,10,8,7,5,19,21,5,29,24,11,5,24,25,13,7,13
"19",1,18,30,30,2,14,15,17,17,3,14,29,1,17,13,3,19,3,25,1,29,2,17,13,30,18,12,14,12,30
"20",26,20,18,18,20,21,7,3,10,8,12,5,2,23,11,18,9,31,3,12,8,12,29,29,29,25,6,17,6,10
"21",16,31,31,16,1,31,31,16,30,15,15,16,16,16,1,16,31,16,1,31,16,16,16,17,1,30,1,1,2,2
"22",31,2,10,31,8,17,16,2,16,20,2,18,22,14,15,31,30,2,16,30,15,30,30,30,13,31,15,31,16,16
"23",22,6,27,24,22,13,24,9,21,12,5,3,19,7,21,23,4,20,27,23,26,5,22,14,21,26,28,10,22,4
"24",18,24,17,29,31,5,14,29,4,4,25,12,15,12,29,29,12,14,15,3,4,9,10,2,14,28,11,3,17,8
"25",19,15,13,8,9,11,28,24,7,11,11,8,27,25,5,28,5,7,8,25,28,24,14,23,25,9,9,4,18,26
"26",24,21,29,20,3,3,11,21,14,10,29,14,29,5,18,20,25,29,21,13,11,22,20,28,8,6,22,8,28,28
"27",7,16,26,2,15,20,18,15,19,30,31,1,30,30,16,1,15,17,2,26,2,15,31,1,17,16,18,2,31,15
"28",9,19,25,25,11,19,9,5,9,7,23,26,12,27,4,22,27,21,13,24,25,26,9,6,12,10,27,25,10,5
"29",11,26,21,27,23,9,4,11,22,23,13,6,23,28,25,7,28,10,9,9,12,23,11,18,28,29,23,23,24,25
"30",20,14,6,23,14,29,29,13,23,2,30,19,28,15,6,11,6,27,12,6,7,4,3,19,18,21,26,29,13,23
"31",8,12,28,12,26,7,20,6,28,9,9,22,10,3,26,12,13,9,11,27,6,10,25,26,9,8,10,26,11,24
