"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1",28,26,5,28,9,27,27,12,9,10,11,13,23,30,24,14,29,22,14,28,7,4,9,27,8,30,8,7,25,14,23,25,6
"2",2,18,33,32,19,33,16,19,17,19,18,17,20,19,33,10,3,2,33,25,16,7,21,4,3,1,33,13,33,23,1,32,16
"3",1,17,1,18,1,1,17,29,2,17,19,33,2,21,2,17,34,17,19,2,2,17,33,17,17,16,1,1,18,33,20,34,17
"4",4,7,22,13,20,21,23,5,5,8,32,32,15,28,13,26,6,28,26,30,26,15,12,24,24,5,28,26,24,6,19,30,8
"5",22,21,21,6,29,30,24,31,12,13,27,3,24,23,21,12,22,29,15,8,32,13,28,8,32,3,6,12,12,9,32,4,20
"6",12,8,23,29,11,31,5,32,20,22,25,24,10,9,22,29,30,31,23,23,8,12,30,30,13,26,25,22,13,26,30,12,3
"7",34,1,18,34,18,17,2,34,1,2,17,1,34,17,1,19,18,18,18,18,18,18,17,34,1,33,18,18,34,1,17,1,32
"8",16,16,34,33,34,19,33,2,14,16,33,20,1,33,34,1,16,16,20,17,5,33,18,19,34,20,20,33,19,17,33,22,33
"9",18,33,19,1,13,2,1,18,33,24,2,23,16,34,17,32,2,21,11,19,1,19,13,16,19,2,16,3,32,16,34,2,14
"10",30,3,32,7,31,24,28,21,3,29,16,26,7,13,14,3,26,11,31,22,11,16,6,3,20,14,15,6,6,12,14,11,7
"11",21,27,27,14,25,20,9,11,27,15,26,31,21,8,12,8,32,12,2,26,21,29,32,20,6,21,32,4,26,4,24,8,27
"12",24,9,4,4,14,25,6,3,13,12,28,21,9,20,7,25,7,3,13,6,15,28,8,26,7,8,11,9,11,28,4,15,25
"13",9,15,16,19,33,32,19,7,29,32,15,2,11,32,19,16,1,15,3,15,34,23,2,32,2,17,3,20,20,21,11,10,1
"14",19,2,2,11,17,34,18,17,34,1,1,16,17,1,16,18,33,34,16,1,19,2,16,1,33,18,34,34,14,18,16,17,34
"15",7,10,24,24,21,10,7,9,25,28,10,12,6,24,5,20,12,26,5,24,10,5,26,5,28,12,9,8,10,5,25,23,30
"16",5,29,10,10,5,22,12,33,28,7,20,9,3,16,31,2,10,24,7,32,23,14,19,23,30,24,19,5,4,19,6,13,10
"17",17,19,20,22,16,16,20,14,16,18,8,34,33,14,23,33,15,33,34,7,17,34,1,18,26,32,2,2,1,2,2,16,2
"18",26,4,9,25,30,3,11,22,22,23,29,27,5,25,26,6,13,23,12,5,27,8,4,14,11,31,29,23,30,8,13,19,21
"19",11,23,3,27,32,5,31,20,15,21,22,15,25,11,4,24,20,25,4,33,14,26,7,33,23,6,31,29,2,20,21,5,19
"20",31,28,15,3,22,11,22,28,19,4,13,5,8,6,27,15,8,32,30,27,3,27,3,15,16,11,30,16,21,30,27,20,29
"21",3,32,29,26,4,28,25,23,32,25,30,11,32,2,20,21,11,9,24,3,20,21,10,21,9,15,14,19,7,7,29,26,24
"22",6,5,13,15,27,12,29,8,8,11,4,28,30,4,28,22,9,7,9,9,4,11,23,12,5,25,23,14,8,22,22,7,13
"23",32,6,11,2,24,15,10,16,21,31,21,10,19,31,32,23,31,4,27,13,22,25,27,22,22,28,5,31,3,15,26,33,15
"24",13,31,12,31,15,7,30,10,24,6,14,4,14,26,10,5,28,6,22,4,12,22,29,10,12,4,22,27,16,3,5,14,9
"25",15,11,14,5,12,4,32,25,11,27,12,22,29,7,11,11,4,10,21,31,24,10,31,29,29,22,4,21,27,13,3,21,28
"26",25,22,31,12,6,8,13,24,7,30,24,7,22,15,9,27,5,30,10,10,6,30,22,6,4,23,21,30,22,11,12,24,4
"27",14,13,6,20,8,26,8,15,6,14,6,8,4,3,30,31,21,14,29,29,31,31,25,7,14,10,13,25,31,10,15,6,22
"28",33,34,17,17,2,18,34,1,18,34,34,18,18,18,18,34,17,1,1,34,33,1,34,2,18,34,17,17,17,34,18,18,18
"29",29,14,28,23,7,14,21,27,30,5,23,29,28,29,29,28,27,8,6,21,13,9,14,13,27,9,7,28,23,27,9,9,26
"30",8,24,8,9,26,23,26,30,26,26,9,25,26,27,6,30,24,20,25,20,29,32,15,9,10,29,24,10,15,25,8,31,31
"31",10,25,25,21,23,29,4,26,10,3,5,19,12,12,8,7,19,5,8,11,25,20,5,11,25,27,10,32,28,29,28,28,11
"32",27,30,26,30,10,9,15,6,4,33,3,30,13,10,25,13,23,19,17,14,28,24,24,28,31,7,27,11,5,24,10,27,23
"33",20,20,7,16,28,13,3,4,31,20,31,6,31,5,15,4,25,27,28,12,9,6,20,31,21,13,12,15,29,31,7,29,12
"34",23,12,30,8,3,6,14,13,23,9,7,14,27,22,3,9,14,13,32,16,30,3,11,25,15,19,26,24,9,32,31,3,5
