"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",27,28,31,5,28,25,28,9,30,31,28,7,16,26,8,10,3,6,5,11,25,16,23,16,30,11,33,15,21,12,10,9,20,32
"2",5,21,13,11,6,29,25,4,27,8,8,20,31,29,31,22,5,10,6,21,27,4,24,26,4,27,8,26,12,15,23,25,5,22
"3",9,25,27,24,31,20,8,16,8,6,27,4,6,25,11,28,31,15,9,22,4,30,31,28,22,22,9,32,27,27,20,32,16,31
"4",6,27,33,23,16,12,26,10,6,26,15,14,7,13,32,11,28,23,14,5,31,8,14,3,14,30,29,28,31,4,24,5,12,14
"5",10,29,4,10,25,31,6,27,10,27,20,23,24,27,6,24,13,28,12,31,11,22,12,32,15,7,27,29,4,6,5,12,8,21
"6",23,3,16,21,15,5,34,23,20,30,13,27,10,33,12,6,6,16,21,20,3,3,7,20,10,2,4,33,20,25,15,4,9,34
"7",32,20,24,22,20,8,14,8,31,4,21,28,32,11,14,32,21,5,10,30,20,6,4,13,12,13,30,27,33,31,3,21,32,24
"8",14,24,22,32,27,7,11,31,24,12,12,8,29,16,10,8,10,31,31,8,21,15,5,9,31,21,5,25,8,7,29,30,11,27
"9",21,10,5,29,5,6,19,5,21,7,31,10,9,12,9,21,30,29,8,24,10,5,25,5,24,8,13,10,11,10,7,11,10,8
"10",4,26,29,30,12,9,32,29,11,20,6,29,22,23,22,33,16,4,7,14,8,21,33,12,13,14,6,4,16,11,33,10,25,6
"11",19,19,17,13,19,33,15,34,14,2,25,12,18,20,29,13,11,26,2,3,2,35,20,7,2,20,2,2,34,23,8,3,34,20
"12",2,9,15,35,8,1,21,19,2,17,22,1,23,19,1,1,2,18,1,34,35,19,17,17,17,34,20,19,17,34,1,35,22,19
"13",8,2,20,20,22,14,31,6,12,24,30,9,33,9,27,16,9,3,27,29,15,33,22,31,32,9,16,23,5,30,28,2,21,15
"14",35,33,2,34,18,19,2,35,1,13,35,34,2,2,17,19,1,2,17,1,22,12,19,19,1,19,17,34,13,19,17,15,15,17
"15",20,4,14,14,13,13,33,13,3,11,23,25,3,31,7,31,14,33,22,6,26,32,27,14,20,25,28,12,3,9,25,22,33,29
"16",28,8,30,15,29,22,9,15,23,25,34,32,28,22,23,3,12,21,16,23,5,7,30,4,3,32,24,21,7,8,16,31,28,10
"17",17,18,35,18,1,17,3,18,17,18,2,2,1,18,34,2,18,1,34,19,18,1,18,35,18,17,34,1,2,18,2,18,1,35
"18",24,30,10,28,33,4,22,28,7,32,14,22,25,7,28,15,32,11,30,13,6,9,26,27,23,26,31,13,10,24,9,24,30,23
"19",11,31,8,4,4,28,12,14,16,23,32,26,14,14,13,9,27,8,29,26,29,24,3,10,11,29,10,7,9,29,21,8,27,28
"20",7,6,32,25,9,26,7,26,29,5,11,24,8,10,21,12,7,25,11,10,28,28,8,30,29,10,26,8,14,26,13,26,26,11
"21",31,15,25,6,7,27,27,25,15,10,24,13,30,6,5,5,29,24,26,9,9,23,32,21,8,16,32,31,15,33,26,17,6,7
"22",30,16,3,16,3,21,30,3,13,19,9,33,20,5,16,14,23,32,13,15,13,27,13,23,33,28,3,22,28,2,4,34,23,33
"23",26,22,12,12,30,3,13,21,25,21,5,6,4,4,15,27,24,20,3,12,33,29,16,25,7,4,21,24,6,17,30,6,31,3
"24",16,17,19,26,24,34,1,2,34,35,18,35,17,17,35,20,35,34,20,17,34,17,34,18,16,1,1,17,1,35,22,19,17,2
"25",13,12,9,7,23,10,10,11,9,14,26,31,21,32,30,7,25,9,4,4,14,11,6,22,27,5,22,9,25,21,27,29,3,5
"26",22,7,7,9,10,11,5,24,32,29,10,5,27,24,25,25,20,7,24,7,24,26,29,8,26,31,12,30,29,28,6,14,13,12
"27",15,5,26,3,21,23,24,32,4,9,4,3,26,15,26,30,33,22,23,25,23,10,9,24,5,3,14,11,24,5,12,13,24,30
"28",18,35,34,2,17,2,17,1,18,3,16,17,15,34,19,17,17,17,35,35,19,20,35,34,35,35,18,35,19,1,18,20,35,1
"29",3,23,18,19,34,35,35,22,28,16,33,19,19,1,3,35,19,19,25,2,16,2,2,33,25,33,11,14,35,13,14,16,19,9
"30",34,34,21,17,2,15,16,33,19,34,19,21,34,21,2,34,34,14,19,16,30,34,15,2,34,6,19,5,22,14,19,33,2,16
"31",29,13,28,31,11,32,20,30,22,22,29,30,12,30,24,29,22,30,32,28,32,13,21,29,28,23,23,20,30,22,34,7,7,25
"32",25,14,23,8,14,30,4,7,5,28,7,16,5,8,4,23,4,13,33,32,7,14,10,6,21,15,7,16,26,16,32,27,29,13
"33",33,32,11,27,26,16,29,12,26,15,3,11,13,28,33,26,8,27,28,27,12,25,11,11,9,24,25,6,23,32,11,28,14,4
"34",12,11,6,33,32,24,23,20,33,33,17,15,11,3,20,4,15,12,15,33,17,31,28,15,6,12,15,3,32,3,31,23,4,26
"35",1,1,1,1,35,18,18,17,35,1,1,18,35,35,18,18,26,35,18,18,1,18,1,1,19,18,35,18,18,20,35,1,18,18
