"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",6,7,10,16,15,6,4,6,14,14
"2",4,3,16,8,4,5,7,12,6,12
"3",12,17,17,9,17,9,5,1,8,1
"4",2,5,11,1,14,16,10,9,2,2
"5",3,13,8,17,2,7,17,16,9,3
"6",9,2,6,12,12,3,14,5,7,5
"7",1,12,1,7,9,1,11,2,17,17
"8",17,6,12,10,1,15,15,3,12,11
"9",5,15,4,11,13,14,8,13,11,10
"10",7,10,5,6,3,12,3,4,3,7
"11",16,11,13,13,11,2,2,14,1,9
"12",13,16,9,2,5,4,9,7,13,8
"13",14,9,3,3,16,8,16,11,5,13
"14",11,1,7,4,8,17,1,17,10,16
"15",10,14,14,15,7,13,12,8,4,15
"16",8,8,15,5,10,10,13,15,15,6
"17",15,4,2,14,6,11,6,10,16,4
