"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",1,12,20,13,6,11,21,11,2,21,2,11,1,1
"2",16,7,19,8,4,4,8,7,12,18,16,3,12,6
"3",21,11,21,15,11,21,1,20,21,6,10,1,16,15
"4",14,3,13,11,19,8,19,4,17,5,7,8,18,3
"5",18,15,4,19,13,2,20,8,20,12,20,14,7,8
"6",11,4,11,21,21,15,4,18,1,15,19,21,11,2
"7",19,6,14,6,10,19,15,14,6,9,5,17,8,7
"8",5,2,17,18,8,7,3,3,9,8,11,15,6,13
"9",8,5,3,9,9,14,18,17,16,17,13,6,5,14
"10",20,21,2,10,15,12,9,2,5,20,12,19,19,11
"11",13,10,6,17,7,16,14,6,4,3,15,10,13,20
"12",12,1,1,2,3,1,11,21,11,11,1,13,21,21
"13",15,19,15,12,1,10,12,15,15,4,18,20,3,17
"14",17,13,8,3,20,9,2,10,7,13,9,5,4,19
"15",9,20,5,14,12,5,7,16,8,2,4,4,9,4
"16",3,9,9,16,18,3,13,13,14,19,6,18,14,16
"17",6,18,12,20,2,18,17,9,10,14,8,2,20,10
"18",4,14,7,4,5,13,5,12,18,7,14,16,17,5
"19",2,8,10,1,16,20,10,1,13,1,21,7,2,9
"20",10,17,16,7,14,17,6,5,19,16,3,12,10,18
"21",7,16,18,5,17,6,16,19,3,10,17,9,15,12
