"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3,16,15,5,14,23,8,23,14
"2",7,20,19,12,19,2,14,17,20
"3",5,19,14,23,4,13,24,3,10
"4",1,8,3,4,25,9,15,5,25
"5",4,5,24,19,16,16,21,9,18
"6",6,2,5,11,3,18,11,15,12
"7",2,10,10,17,11,4,2,16,4
"8",19,6,13,7,7,15,18,18,3
"9",23,1,16,14,12,7,25,24,22
"10",22,15,2,6,15,1,22,12,9
"11",16,23,4,20,17,10,12,22,7
"12",25,22,17,18,1,24,16,8,5
"13",14,9,21,13,13,21,13,4,8
"14",12,7,1,21,5,25,5,20,21
"15",24,12,9,10,18,14,6,2,17
"16",10,3,18,3,20,11,4,11,6
"17",17,21,6,1,10,19,1,7,19
"18",8,13,7,25,21,20,19,25,2
"19",13,24,11,9,23,22,23,14,23
"20",21,18,23,16,24,17,3,19,11
"21",11,17,8,15,8,8,17,10,15
"22",9,25,25,8,6,6,7,1,1
"23",20,14,20,24,9,12,10,13,24
"24",18,4,12,22,22,3,9,6,13
"25",15,11,22,2,2,5,20,21,16
