"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",6,13,15,20,2,4,7,17,22,24,4,19
"2",21,17,7,18,9,11,8,10,12,22,24,1
"3",4,7,16,2,10,12,4,2,4,6,7,3
"4",17,10,20,14,4,14,13,24,20,11,18,6
"5",20,8,5,1,21,13,23,19,25,26,15,26
"6",1,25,4,13,3,6,19,3,8,17,17,22
"7",22,20,12,3,5,23,12,16,2,16,10,14
"8",3,11,11,15,22,24,24,14,15,14,6,2
"9",25,1,10,19,26,22,17,1,21,4,23,13
"10",7,18,6,8,18,1,11,8,23,9,13,7
"11",12,5,24,17,6,21,21,9,6,25,12,8
"12",2,19,22,24,11,26,10,26,13,1,14,25
"13",11,14,1,5,1,19,1,13,16,2,21,10
"14",19,4,8,6,7,2,26,25,11,8,1,16
"15",13,24,9,16,23,15,5,20,10,7,11,18
"16",26,26,26,12,16,20,3,22,26,19,2,4
"17",10,23,18,26,8,16,25,7,24,13,26,17
"18",24,9,19,25,20,3,2,11,9,15,16,12
"19",9,2,3,23,12,9,16,21,17,18,9,11
"20",23,16,23,10,13,10,20,12,19,5,8,20
"21",14,6,13,9,14,25,6,5,18,20,19,21
"22",8,3,25,11,25,8,9,15,1,12,25,24
"23",5,15,17,7,19,17,18,23,7,21,22,15
"24",18,12,2,22,17,18,14,6,5,10,3,23
"25",15,21,14,21,15,5,22,18,3,3,20,5
"26",16,22,21,4,24,7,15,4,14,23,5,9
