"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",6,4,7,26,26,6,5,17,5,9,6,27,8,13,17,14,13
"2",3,25,24,11,9,10,16,20,16,21,23,24,7,22,26,13,9
"3",25,7,5,10,2,15,18,3,8,22,9,17,6,21,12,26,17
"4",15,28,1,2,7,20,12,13,25,16,7,26,25,7,8,20,10
"5",26,27,15,27,4,5,22,5,21,8,25,11,27,15,19,15,19
"6",1,22,14,13,27,1,13,14,11,24,15,1,28,1,14,28,28
"7",21,12,19,8,18,3,8,10,22,11,16,19,9,10,23,25,6
"8",23,6,10,9,25,25,4,18,17,19,21,12,26,18,5,11,4
"9",8,26,18,6,20,22,23,7,2,25,8,9,12,14,16,9,5
"10",13,20,20,21,24,12,21,22,19,17,5,13,5,11,4,22,23
"11",18,10,4,23,8,9,27,21,27,27,18,10,11,2,15,17,2
"12",28,14,28,1,28,13,28,15,28,14,1,2,14,20,28,1,15
"13",11,17,12,4,23,8,26,1,12,3,19,22,17,27,6,19,12
"14",27,18,16,16,12,28,1,28,1,28,28,28,15,12,1,23,14
"15",4,21,3,20,14,16,3,6,15,1,2,14,22,19,24,24,1
"16",2,2,9,14,13,19,24,9,26,10,17,23,2,16,2,3,27
"17",9,8,8,7,15,17,20,23,6,13,24,5,21,8,25,21,21
"18",12,16,11,25,6,27,10,2,13,18,14,4,4,9,27,4,11
"19",19,11,22,24,17,26,25,12,10,20,10,25,23,24,22,16,25
"20",22,5,21,15,10,11,15,8,9,4,4,3,19,4,3,12,8
"21",10,15,26,18,3,2,19,25,4,12,13,18,24,17,9,2,3
"22",14,3,13,5,11,4,11,27,20,26,3,15,18,26,20,5,24
"23",5,13,17,12,5,24,6,19,23,5,11,6,13,23,10,18,20
"24",16,1,27,28,19,21,14,26,14,7,27,8,1,28,13,27,7
"25",17,19,23,3,1,18,2,16,7,2,20,16,3,5,18,10,26
"26",7,9,25,22,21,14,7,4,24,23,26,20,20,6,11,8,18
"27",20,23,2,19,16,7,9,11,3,15,22,7,10,25,7,7,22
"28",24,24,6,17,22,23,17,24,18,6,12,21,16,3,21,6,16
