"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",27,6,15,20,6,19,22,24,16,9,24,27,1,6,2,17
"2",1,12,26,15,12,3,27,25,24,21,7,14,7,2,16,7
"3",4,21,12,10,25,7,17,17,8,5,9,2,2,10,28,15
"4",29,7,16,2,20,2,2,10,13,29,22,6,9,28,19,19
"5",10,4,4,22,24,14,4,11,28,14,13,9,11,7,4,10
"6",6,11,28,5,21,18,13,13,20,25,8,26,24,20,3,18
"7",25,2,14,12,18,8,6,26,29,17,1,22,21,16,27,27
"8",21,14,23,4,22,17,11,19,4,10,26,16,17,5,23,6
"9",11,26,18,3,8,6,19,8,18,11,3,18,12,8,11,25
"10",16,9,6,16,27,4,21,5,7,22,28,23,22,12,13,12
"11",19,16,11,8,13,9,9,3,25,4,18,25,6,24,9,5
"12",5,27,13,19,19,26,23,9,23,13,23,17,27,27,25,8
"13",28,24,3,11,5,16,29,12,2,16,6,28,13,23,20,11
"14",14,29,25,17,29,15,1,1,15,1,12,29,29,1,21,29
"15",17,23,24,13,26,20,20,23,27,19,21,3,14,25,10,22
"16",9,19,5,18,10,13,10,20,17,24,27,12,4,21,22,26
"17",7,1,1,1,1,29,15,29,22,2,29,1,15,15,15,1
"18",18,18,2,29,14,1,14,28,5,12,10,15,28,29,1,21
"19",2,17,9,9,3,27,3,15,10,18,20,20,20,3,8,23
"20",13,8,17,14,9,22,5,21,9,6,5,7,26,22,12,9
"21",12,5,22,26,2,10,18,16,12,23,14,21,16,26,29,4
"22",15,3,29,7,11,24,24,2,6,15,16,11,5,14,26,20
"23",23,28,7,6,16,12,25,22,14,26,15,8,25,9,7,3
"24",22,10,8,25,23,25,26,18,19,3,11,19,10,18,17,24
"25",8,25,19,27,17,23,7,27,3,28,17,24,8,11,14,13
"26",26,20,21,21,28,28,12,7,11,20,2,13,3,17,6,2
"27",3,13,20,24,15,11,28,6,1,7,25,5,18,19,5,28
"28",20,15,10,28,7,21,16,4,26,27,4,4,19,4,24,16
"29",24,22,27,23,4,5,8,14,21,8,19,10,23,13,18,14
