"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,8,13,8,12,4,12,11,10,15,14,4
"2",4,12,8,17,14,7,5,3,3,7,16,11
"3",15,5,14,4,10,16,1,4,9,4,13,9
"4",17,17,11,6,17,9,17,8,2,17,9,17
"5",5,6,10,11,5,15,13,12,4,3,7,13
"6",10,2,17,12,15,2,10,1,8,11,6,14
"7",12,16,5,9,9,3,3,10,5,5,5,3
"8",2,3,4,13,8,11,2,9,16,12,12,16
"9",16,7,12,14,3,8,4,16,6,13,1,7
"10",6,13,2,5,6,13,8,2,7,14,8,5
"11",11,10,7,2,13,17,6,13,15,16,4,12
"12",1,1,9,3,1,6,9,6,13,1,3,2
"13",8,4,1,1,7,1,16,15,1,9,17,8
"14",14,11,6,10,4,5,14,5,14,10,10,10
"15",7,15,15,15,11,14,15,7,17,8,2,6
"16",9,14,16,7,2,10,7,14,12,6,15,15
"17",13,9,3,16,16,12,11,17,11,2,11,1
