"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",10,1,12,17,1,1,2,17,9,16,9,2,9
"2",1,16,11,3,6,9,17,8,7,1,15,1,1
"3",3,8,10,6,2,17,8,2,17,9,11,17,16
"4",14,13,15,11,5,5,12,12,15,12,14,7,13
"5",15,6,5,7,11,3,11,1,5,7,13,3,6
"6",17,2,13,12,14,12,16,5,8,10,5,9,17
"7",7,15,8,4,12,4,3,10,4,11,8,11,15
"8",5,11,6,8,15,15,15,14,11,14,10,6,4
"9",12,14,9,13,10,14,4,4,16,2,7,5,7
"10",9,7,17,2,16,2,14,9,14,4,6,15,8
"11",13,10,2,9,17,10,1,6,1,17,16,16,11
"12",8,3,16,10,7,13,5,13,3,6,12,13,3
"13",4,12,14,15,9,6,10,3,6,15,2,14,5
"14",16,17,1,1,8,16,9,16,10,8,1,12,10
"15",2,5,7,14,13,7,7,15,12,3,17,10,12
"16",6,9,3,16,3,11,13,11,2,5,4,4,14
"17",11,4,4,5,4,8,6,7,13,13,3,8,2
