"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",3,17,9,15,12,7,4,15,5,2,10,14,12,4
"2",12,5,14,14,7,9,16,8,2,15,5,15,13,14
"3",9,2,1,5,8,5,2,1,13,1,6,11,18,12
"4",14,6,7,16,6,8,6,10,17,4,16,4,5,8
"5",8,15,15,9,10,15,3,12,14,12,17,16,3,13
"6",16,18,8,10,18,11,18,7,9,3,1,9,2,17
"7",11,8,12,4,17,2,5,5,4,17,18,10,8,1
"8",13,16,13,8,3,3,14,13,16,8,7,6,15,2
"9",17,11,17,18,13,1,13,2,11,6,11,18,9,11
"10",10,12,6,17,16,16,8,18,15,16,3,8,14,10
"11",6,13,2,11,11,4,11,6,3,11,4,3,4,7
"12",7,7,16,3,5,13,12,17,8,5,2,12,7,6
"13",4,4,10,6,14,6,15,16,12,14,12,5,6,15
"14",18,9,5,2,9,17,1,14,1,9,8,2,10,18
"15",2,14,4,1,2,10,17,4,18,13,15,13,11,9
"16",5,10,11,12,4,14,7,3,6,7,13,7,17,16
"17",1,1,18,13,1,18,9,9,10,18,9,1,1,3
"18",15,3,3,7,15,12,10,11,7,10,14,17,16,5
