"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",18,19,11,8,16,4,3,17,12,8,6,17,15,12,4
"2",12,17,14,1,1,20,1,11,10,20,9,10,1,1,13
"3",17,3,13,20,12,2,10,1,8,7,17,11,2,15,15
"4",16,6,10,18,5,10,16,15,7,18,1,15,9,5,5
"5",2,16,16,14,13,18,12,2,2,9,12,18,10,3,6
"6",14,10,17,5,11,6,18,4,16,6,3,5,19,4,11
"7",20,8,1,2,20,8,11,9,1,1,11,6,6,9,2
"8",5,14,4,4,4,5,13,3,13,19,16,13,13,13,8
"9",15,12,18,7,18,13,14,14,5,15,14,12,16,18,18
"10",6,4,19,13,17,12,4,7,15,17,4,9,5,14,7
"11",9,1,15,11,2,1,15,12,20,10,10,1,12,20,1
"12",10,11,20,15,3,7,6,19,14,3,15,19,7,8,19
"13",8,18,2,9,8,9,20,8,4,11,2,20,3,16,16
"14",7,2,6,12,19,19,19,10,11,2,19,16,17,7,12
"15",13,15,5,19,15,16,17,18,17,12,13,3,4,11,9
"16",1,5,12,6,7,11,2,20,3,13,18,2,20,10,10
"17",11,13,7,17,6,15,5,5,6,4,8,8,18,17,3
"18",4,9,3,16,14,3,7,13,9,14,7,4,14,2,17
"19",3,7,8,3,10,17,9,16,18,5,5,14,8,19,14
"20",19,20,9,10,9,14,8,6,19,16,20,7,11,6,20
