"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,9,6,18,15,12,12,19
"2",11,10,3,13,4,13,6,4
"3",20,7,16,12,5,6,18,20
"4",14,11,19,16,11,20,20,7
"5",10,18,18,7,10,11,9,18
"6",9,20,2,19,13,4,17,13
"7",15,14,5,1,6,8,1,15
"8",8,8,11,9,12,7,3,9
"9",3,16,8,11,8,2,14,5
"10",1,1,20,4,3,3,5,11
"11",18,6,1,3,9,16,11,10
"12",16,2,13,10,14,14,15,14
"13",12,12,15,2,17,5,13,3
"14",7,13,10,5,2,18,16,16
"15",13,5,9,15,19,1,7,17
"16",5,4,4,6,20,10,19,6
"17",6,3,14,20,7,17,8,2
"18",17,17,12,17,1,9,10,8
"19",4,15,17,14,18,15,2,12
"20",19,19,7,8,16,19,4,1
