"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",15,12,6,18,8,14,5,16,8
"2",7,10,15,19,18,2,2,1,17
"3",5,8,2,3,11,13,18,17,20
"4",11,2,3,15,15,11,8,5,12
"5",20,14,1,1,3,1,9,4,6
"6",12,6,5,7,1,19,1,12,15
"7",9,17,8,5,7,9,13,3,16
"8",3,18,4,14,20,6,11,14,1
"9",19,16,11,11,16,17,7,19,18
"10",16,19,16,4,13,12,3,8,3
"11",13,13,18,8,14,3,15,15,13
"12",14,5,20,13,9,18,16,2,2
"13",18,9,7,9,19,8,19,6,9
"14",6,7,10,10,10,4,6,10,4
"15",1,1,19,6,6,7,4,20,10
"16",10,15,14,16,2,10,20,18,5
"17",17,3,12,17,5,5,14,11,19
"18",8,4,13,2,17,16,12,13,7
"19",4,11,17,12,4,15,10,7,14
"20",2,20,9,20,12,20,17,9,11
