"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",22,21,9,8,22,21,8,1,8,11,1,11,15,5,11,9,16,6,21
"2",5,22,7,22,2,11,2,15,12,20,21,18,16,12,16,4,11,8,5
"3",7,6,2,12,19,14,10,13,3,19,20,7,3,3,12,7,2,19,15
"4",9,15,19,11,13,2,22,2,9,6,22,21,2,10,21,8,20,12,11
"5",16,19,18,17,9,10,19,21,19,15,15,5,7,4,8,5,13,4,14
"6",12,17,16,20,16,17,20,14,4,17,4,9,17,20,15,16,18,17,8
"7",13,16,5,19,5,20,15,9,7,5,13,14,6,15,3,2,7,16,20
"8",11,11,21,7,7,3,9,8,22,21,6,4,20,17,14,6,9,13,22
"9",17,18,8,9,1,5,11,19,16,10,9,12,1,22,19,12,1,22,7
"10",20,5,14,3,4,16,17,6,17,18,19,16,12,9,20,14,14,18,18
"11",4,10,13,21,8,15,7,3,15,4,5,8,4,7,17,18,6,3,12
"12",10,4,12,1,20,12,3,5,20,13,12,10,5,21,2,1,19,10,6
"13",18,8,15,5,12,13,5,20,5,3,7,20,18,8,6,3,10,21,10
"14",1,20,11,13,14,4,4,10,14,2,18,3,13,19,5,17,15,20,16
"15",19,7,6,15,18,8,18,7,1,1,8,2,9,14,18,10,12,7,2
"16",14,1,1,16,10,18,6,18,11,12,10,1,22,11,22,22,22,11,17
"17",21,13,22,14,15,22,1,12,21,9,14,17,10,1,13,21,5,14,4
"18",6,12,3,6,11,7,16,22,13,22,2,13,8,6,4,20,17,15,1
"19",2,2,10,10,6,1,21,11,2,14,11,15,21,2,1,15,8,5,9
"20",8,3,17,18,21,6,14,16,18,7,3,19,14,13,7,13,3,9,19
"21",15,14,4,2,17,9,13,4,10,16,16,22,19,18,10,19,4,2,13
"22",3,9,20,4,3,19,12,17,6,8,17,6,11,16,9,11,21,1,3
