"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",5,8,18,6,9,6,17,18,17,18,4,14,18,7,21,11
"2",2,2,3,18,16,7,16,10,10,2,19,10,9,8,6,8
"3",8,18,10,9,20,4,19,4,20,6,14,3,19,15,10,14
"4",1,10,15,12,10,1,12,2,6,12,1,1,1,23,1,1
"5",3,20,6,3,11,14,15,21,14,15,18,20,2,18,12,21
"6",11,6,4,10,14,18,3,22,19,20,7,5,7,14,8,5
"7",21,14,5,15,4,3,1,16,16,10,21,8,12,20,23,13
"8",15,17,14,16,17,19,14,20,7,14,17,2,16,5,19,6
"9",16,19,9,17,7,5,6,6,8,19,6,18,5,10,13,10
"10",19,12,2,5,19,11,21,1,1,21,23,16,13,12,17,2
"11",7,11,17,4,6,20,4,11,5,7,20,17,17,16,9,7
"12",23,23,23,1,8,23,13,9,23,23,13,6,11,1,11,12
"13",17,16,20,7,1,9,11,23,9,1,8,9,15,13,4,23
"14",4,9,11,20,21,22,7,7,11,22,10,11,14,19,20,22
"15",9,15,7,23,3,15,22,8,15,13,9,13,23,2,3,4
"16",12,21,22,11,23,16,23,12,12,3,5,22,8,22,22,9
"17",6,22,1,14,13,12,5,13,2,8,3,7,22,6,16,20
"18",18,1,13,22,12,8,8,19,22,4,12,19,21,21,14,3
"19",20,13,16,19,18,21,18,15,21,9,2,15,4,11,7,19
"20",22,5,21,13,15,13,2,5,13,16,16,23,20,9,2,17
"21",14,3,12,8,5,17,10,3,18,5,22,12,3,4,18,18
"22",10,4,19,21,2,10,20,14,4,17,15,4,6,17,15,16
"23",13,7,8,2,22,2,9,17,3,11,11,21,10,3,5,15
