"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",6,4,19,15,18,8,12,17,10,22,19,6,2,19,9,6,9
"2",21,15,17,12,7,3,15,20,19,13,2,7,3,14,18,18,21
"3",8,16,1,19,14,16,17,19,21,16,13,22,12,23,3,9,19
"4",11,19,18,22,9,13,19,13,3,21,5,14,10,6,8,23,3
"5",13,20,15,18,20,6,3,12,16,5,16,15,17,21,16,21,16
"6",9,21,4,4,22,4,6,3,11,18,8,9,6,5,11,12,20
"7",22,18,6,2,8,11,10,22,14,23,18,17,16,8,20,5,11
"8",17,8,2,20,3,5,8,10,6,15,22,21,8,15,14,14,6
"9",20,22,8,9,21,17,21,16,4,14,21,4,20,12,6,15,14
"10",3,3,23,1,10,7,5,14,22,12,7,20,21,10,7,16,13
"11",16,1,9,23,11,2,20,4,18,2,15,12,5,11,4,2,12
"12",23,13,22,13,17,1,23,1,9,11,12,23,18,1,12,7,1
"13",10,9,3,6,19,10,18,11,23,7,3,5,15,13,17,3,4
"14",18,5,14,10,16,19,2,15,20,19,14,10,9,3,22,13,5
"15",7,11,20,7,15,15,16,5,7,4,20,18,7,9,21,17,17
"16",19,17,21,8,4,14,7,6,15,3,6,3,11,20,5,10,8
"17",5,14,5,16,6,20,13,7,17,9,17,8,23,4,10,19,7
"18",14,2,16,5,5,18,14,8,5,17,11,13,22,22,15,4,22
"19",12,7,13,21,13,23,9,23,8,1,1,2,19,7,13,11,18
"20",15,10,11,3,23,21,11,21,12,8,10,19,1,17,2,22,2
"21",1,23,7,14,12,22,1,9,2,10,4,16,4,18,19,8,10
"22",4,12,12,11,2,9,4,18,1,6,23,11,13,2,1,1,23
"23",2,6,10,17,1,12,22,2,13,20,9,1,14,16,23,20,15
