"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",19,10,11,18,13,22,2,3,14,16,15
"2",16,24,25,16,10,10,13,4,4,10,10
"3",25,15,1,13,1,25,8,21,3,13,25
"4",2,18,17,4,12,23,22,7,8,8,18
"5",6,9,24,11,24,21,18,11,23,12,13
"6",23,20,16,17,19,17,17,19,18,5,22
"7",5,12,15,22,4,16,4,10,1,4,5
"8",4,22,12,14,3,8,21,22,13,22,14
"9",9,3,5,19,17,20,23,25,5,2,11
"10",11,25,10,25,15,24,14,17,25,25,3
"11",10,23,23,1,7,1,1,12,15,1,24
"12",22,8,8,2,2,11,20,2,20,7,2
"13",13,17,19,5,6,19,10,24,21,18,9
"14",17,19,2,23,25,5,25,6,22,17,17
"15",24,6,18,20,8,2,19,13,7,20,7
"16",18,13,22,8,16,13,24,18,10,15,4
"17",20,2,14,10,11,7,9,16,24,3,16
"18",1,1,21,15,20,14,7,5,16,23,1
"19",21,21,7,3,22,15,5,14,6,21,12
"20",3,5,3,7,14,4,3,20,19,11,8
"21",14,7,20,24,23,9,6,23,9,9,20
"22",15,4,4,9,5,18,16,9,11,24,21
"23",8,11,13,6,18,6,15,1,2,19,23
"24",12,16,9,12,21,3,11,8,12,6,6
"25",7,14,6,21,9,12,12,15,17,14,19
