"","V1","V2","V3","V4","V5"
"1",15,2,2,4,23
"2",22,16,19,25,24
"3",3,8,9,12,25
"4",8,11,25,23,4
"5",14,9,18,18,14
"6",6,13,5,17,19
"7",18,15,1,13,5
"8",13,7,4,24,8
"9",24,10,11,6,10
"10",16,18,17,5,7
"11",21,23,6,2,13
"12",25,21,24,19,17
"13",4,14,20,3,1
"14",1,1,15,21,6
"15",17,25,10,22,21
"16",5,24,22,11,9
"17",23,5,7,16,2
"18",11,6,23,7,20
"19",10,17,8,20,11
"20",9,20,16,15,22
"21",2,19,3,8,15
"22",12,22,12,9,3
"23",7,4,13,1,16
"24",19,3,21,14,12
"25",20,12,14,10,18
