"","V1","V2","V3","V4","V5","V6"
"1",13,19,14,19,12,16
"2",22,16,20,24,18,22
"3",1,18,25,5,3,6
"4",2,4,6,15,9,15
"5",14,7,2,9,11,23
"6",7,3,16,22,1,21
"7",9,6,23,20,6,12
"8",23,5,15,3,13,4
"9",8,14,4,4,16,19
"10",19,23,24,14,15,20
"11",17,15,17,7,8,10
"12",3,12,18,17,24,25
"13",5,10,9,25,14,9
"14",6,20,21,10,10,1
"15",24,11,12,11,5,18
"16",11,22,10,2,4,24
"17",10,17,7,13,23,5
"18",18,8,11,18,19,2
"19",15,9,22,1,22,14
"20",21,13,3,16,2,8
"21",4,24,13,8,20,13
"22",25,21,1,21,21,11
"23",12,2,19,12,17,7
"24",20,1,8,6,25,17
"25",16,25,5,23,7,3
