"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",9,22,19,8,16,6,14,25,2,15,14,9,13,7,23,25,6,4,25,4
"2",8,11,23,10,21,18,19,10,23,13,20,23,8,17,7,9,4,3,7,25
"3",3,16,10,21,19,10,23,5,5,11,18,25,10,1,18,3,20,16,22,14
"4",13,1,22,2,25,15,16,1,13,25,24,1,16,5,25,13,18,26,13,17
"5",7,26,8,14,13,14,11,26,19,24,26,26,25,25,2,17,1,13,19,13
"6",16,25,1,3,20,19,22,21,25,9,1,18,14,13,14,24,22,18,11,9
"7",17,15,5,20,22,20,6,19,10,22,16,6,7,3,4,22,11,8,5,15
"8",25,13,25,4,15,3,2,3,1,6,25,14,5,26,12,18,15,12,8,12
"9",24,24,14,16,26,12,13,13,8,1,2,16,1,10,26,7,2,14,1,19
"10",18,14,15,12,1,23,20,24,20,5,13,2,3,24,19,14,21,9,24,21
"11",15,3,9,24,4,2,17,18,6,4,21,22,20,14,16,20,7,5,12,18
"12",6,6,4,5,11,22,10,4,21,8,11,11,22,9,20,2,9,10,3,16
"13",5,10,11,9,12,25,4,16,4,21,8,20,6,12,24,19,25,24,15,24
"14",14,9,7,13,23,8,5,8,18,3,5,15,19,4,9,15,26,2,23,2
"15",20,18,2,15,7,5,18,6,17,23,15,21,11,19,21,16,12,25,2,3
"16",2,17,21,1,3,21,7,17,12,2,17,19,17,15,3,8,13,17,26,5
"17",21,23,3,6,8,11,8,11,7,16,22,5,15,18,10,5,23,7,18,23
"18",1,2,6,7,24,1,25,15,14,18,10,7,2,21,13,10,8,15,17,6
"19",11,20,12,17,2,24,24,2,3,19,3,10,23,16,6,11,16,1,9,11
"20",23,19,13,25,14,26,1,12,24,12,19,3,26,6,15,12,5,22,14,1
"21",26,4,17,26,9,13,26,9,26,26,12,13,12,11,1,26,14,11,21,26
"22",4,21,20,23,18,9,15,14,16,7,9,8,21,22,8,21,19,23,4,22
"23",10,8,16,22,5,7,12,22,22,20,23,12,4,8,11,6,24,19,6,8
"24",12,7,24,18,6,17,9,7,9,10,4,4,9,20,17,23,3,20,20,10
"25",22,5,18,19,17,16,3,20,15,17,7,24,18,23,22,4,17,6,10,7
"26",19,12,26,11,10,4,21,23,11,14,6,17,24,2,5,1,10,21,16,20
