"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",20,26,25,19,20,13,3,26,1,24
"2",2,9,20,22,9,21,18,6,27,23
"3",14,1,7,10,27,23,23,22,13,22
"4",24,11,5,18,14,20,5,10,14,12
"5",21,15,8,24,25,17,12,24,23,2
"6",7,2,14,23,6,15,2,14,8,9
"7",25,17,18,27,1,27,27,15,11,27
"8",26,24,13,6,13,16,20,20,25,13
"9",22,21,27,13,5,7,15,13,18,21
"10",11,12,19,12,23,22,14,16,3,10
"11",5,22,23,9,17,18,24,11,7,1
"12",13,19,21,21,11,5,10,21,12,5
"13",16,4,26,17,15,26,21,2,22,6
"14",15,13,17,4,19,1,1,12,24,20
"15",4,5,12,14,16,6,8,19,21,26
"16",17,8,2,25,18,9,19,17,6,19
"17",8,16,6,5,12,14,13,1,10,25
"18",3,14,4,16,4,2,22,25,4,14
"19",18,23,11,15,7,24,9,4,5,18
"20",23,3,9,2,10,4,17,9,2,3
"21",10,18,10,20,22,12,25,8,20,16
"22",19,10,16,8,8,11,26,27,16,8
"23",6,25,15,26,26,3,16,3,15,11
"24",1,20,1,3,21,25,4,18,17,7
"25",27,6,22,7,24,8,7,5,9,15
"26",9,7,24,1,3,19,11,23,19,17
"27",12,27,3,11,2,10,6,7,26,4
