"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",25,22,21,9,10,5,25,16,27,22,5,11,23,21,23,5,22,13,21,20,24,23,10
"2",3,25,28,14,15,23,17,3,19,8,9,18,27,4,19,7,9,4,19,3,19,11,3
"3",22,10,17,4,5,21,23,20,18,20,8,21,6,8,7,9,24,26,11,10,8,4,5
"4",23,23,19,16,28,8,6,19,12,17,23,20,5,2,1,23,4,8,16,6,28,19,12
"5",5,6,7,11,26,16,21,22,5,10,25,10,4,17,18,4,10,9,12,22,9,26,6
"6",29,13,1,15,11,29,1,29,13,29,29,1,7,16,16,8,29,15,23,1,15,15,15
"7",16,18,5,2,2,17,3,21,21,6,16,27,24,12,29,28,19,5,20,26,7,18,14
"8",21,11,13,12,17,1,4,11,20,3,20,3,18,3,11,13,13,25,2,28,22,27,4
"9",2,8,16,21,29,19,29,5,16,21,26,19,25,15,28,15,23,17,3,27,29,13,22
"10",18,17,26,20,24,26,28,17,3,5,11,5,19,24,9,21,21,11,5,4,6,14,9
"11",8,14,25,25,9,13,2,28,11,13,2,15,22,19,14,27,6,27,10,23,26,5,8
"12",24,2,4,22,14,6,16,27,2,26,17,22,16,6,24,20,20,6,7,17,18,7,2
"13",1,1,2,1,21,10,27,15,15,16,6,29,14,28,15,22,15,29,18,2,20,29,18
"14",4,15,12,26,1,2,7,8,4,18,10,13,17,13,6,1,25,3,13,7,17,24,25
"15",10,24,11,5,19,3,13,4,10,11,28,24,20,25,4,17,27,16,22,18,10,3,7
"16",28,26,15,29,7,15,19,13,14,14,21,2,15,29,27,3,7,1,1,13,5,2,16
"17",26,28,6,10,4,22,12,9,6,7,4,23,2,18,13,19,12,18,4,14,25,17,24
"18",11,12,9,27,27,12,18,10,26,9,12,4,3,9,22,25,26,21,25,11,23,9,11
"19",27,5,23,28,20,18,11,25,17,12,1,7,28,5,2,16,17,14,24,15,11,25,27
"20",15,7,14,7,12,20,9,7,8,28,14,9,29,27,25,24,1,20,15,8,1,21,1
"21",6,27,18,8,22,9,5,26,24,1,15,12,9,20,26,11,18,19,8,5,12,6,26
"22",19,29,29,19,16,28,14,14,29,15,24,17,10,14,20,29,28,28,14,19,2,28,29
"23",20,9,3,24,13,7,20,6,23,2,7,16,8,22,3,12,3,10,17,24,3,12,20
"24",13,20,8,23,23,25,15,24,25,25,19,26,26,23,5,6,8,24,9,12,21,22,17
"25",14,21,10,6,18,27,26,23,9,19,13,8,13,10,12,14,2,2,28,25,27,8,28
"26",17,16,20,13,25,14,8,1,1,24,3,28,12,1,17,2,16,22,29,21,4,10,19
"27",12,4,24,18,6,4,24,18,7,4,22,25,21,11,21,10,5,23,26,9,13,16,23
"28",7,3,22,17,3,24,10,12,28,23,18,14,1,26,10,18,14,7,27,29,14,1,13
"29",9,19,27,3,8,11,22,2,22,27,27,6,11,7,8,26,11,12,6,16,16,20,21
