"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",20,22,22,19,22,19,6,4,11,2,26,16,21,26,20,15,27,3
"2",16,16,2,17,16,9,23,1,12,24,1,5,1,1,30,2,24,8
"3",5,11,11,13,6,22,7,21,6,20,13,19,5,9,14,6,29,4
"4",15,17,30,3,20,23,20,26,3,14,19,23,23,2,6,19,25,27
"5",25,14,10,14,5,17,26,29,26,1,15,18,29,25,29,30,15,26
"6",10,23,5,4,27,15,22,11,28,21,25,15,4,22,16,9,1,28
"7",1,3,26,15,1,18,14,16,29,15,30,4,19,3,27,21,3,1
"8",23,18,20,18,2,4,16,22,7,26,21,6,12,27,10,8,7,22
"9",22,10,19,5,11,27,18,10,22,25,20,28,10,21,26,23,28,11
"10",28,4,27,24,8,14,21,7,5,11,8,12,8,15,22,13,20,29
"11",27,15,1,27,29,24,9,13,18,13,12,8,3,28,7,22,12,6
"12",18,8,21,10,26,5,12,17,27,4,3,14,6,8,9,27,26,21
"13",24,1,9,11,24,29,13,5,9,17,29,22,18,13,1,4,13,20
"14",11,30,28,16,15,30,1,30,30,30,6,17,9,30,2,12,16,14
"15",13,13,29,2,4,2,3,8,19,8,22,10,28,7,18,5,14,12
"16",26,26,24,12,17,7,24,12,20,22,9,20,25,10,11,18,8,5
"17",17,6,4,8,13,21,5,20,13,28,4,9,24,18,23,17,9,24
"18",30,5,15,26,30,16,30,19,16,29,24,30,30,4,13,11,23,15
"19",2,21,14,7,9,20,29,2,17,3,18,3,7,11,4,16,10,18
"20",12,2,16,1,23,1,28,28,10,18,11,2,14,23,17,25,18,2
"21",8,24,18,20,25,26,17,23,23,12,10,7,26,12,25,7,21,17
"22",6,27,6,9,3,13,15,9,8,10,5,29,22,29,12,24,22,16
"23",7,9,17,25,19,12,11,3,2,23,16,11,27,20,3,29,2,13
"24",9,7,3,21,10,6,19,24,21,6,27,21,17,19,5,14,19,7
"25",4,12,25,29,18,25,25,14,15,5,2,26,16,24,15,3,5,23
"26",21,29,12,30,12,10,2,15,25,16,17,1,20,17,8,1,30,30
"27",3,19,8,23,21,3,8,6,24,27,14,24,13,5,21,20,17,25
"28",29,20,13,6,28,8,4,25,1,7,7,27,15,16,28,10,4,9
"29",14,25,23,28,7,11,10,27,14,19,28,25,2,14,24,26,11,19
"30",19,28,7,22,14,28,27,18,4,9,23,13,11,6,19,28,6,10
