"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",12,19,26,15,10,27,8,10,3,8,10,6,9,17,26,4,12,6,7,26,23,10
"2",5,11,14,22,2,14,22,8,30,9,8,7,28,19,28,17,23,18,20,4,10,28
"3",10,24,9,28,12,7,28,9,22,18,12,24,3,23,13,10,4,10,23,23,21,24
"4",25,14,3,30,11,25,16,12,15,28,19,21,26,22,24,11,28,7,11,11,2,3
"5",13,15,18,10,6,28,21,3,28,27,21,15,8,7,7,14,6,20,28,7,28,6
"6",8,6,25,29,5,11,19,22,11,2,22,10,1,10,11,28,29,13,9,16,20,14
"7",26,26,23,20,4,12,3,28,25,23,13,27,22,9,20,18,21,17,14,25,24,5
"8",7,21,5,8,20,9,2,13,17,4,24,2,11,27,19,23,16,14,18,2,29,2
"9",30,20,22,19,1,30,27,15,8,19,1,1,15,29,15,29,2,22,16,15,1,16
"10",15,1,1,14,15,15,6,2,1,30,15,30,30,15,14,30,1,16,1,1,15,19
"11",29,29,2,16,23,2,23,18,12,11,7,19,5,18,8,15,24,24,3,5,22,9
"12",2,2,6,11,7,1,10,26,10,25,2,16,21,30,29,12,14,12,26,17,17,13
"13",16,25,8,7,9,22,26,24,4,6,16,23,10,8,25,24,22,28,24,13,9,20
"14",19,12,16,5,3,23,1,20,18,29,6,18,6,26,10,22,17,3,4,28,12,27
"15",1,22,17,21,19,24,30,6,14,7,28,26,24,3,4,19,13,11,2,18,11,12
"16",24,9,13,23,14,4,4,29,6,14,18,3,7,6,3,13,11,8,15,6,5,23
"17",17,5,19,6,18,10,29,19,20,17,5,4,29,4,23,9,8,30,8,12,18,4
"18",22,4,24,9,25,6,25,5,2,16,20,13,20,21,12,21,20,5,21,24,7,7
"19",4,10,27,12,21,29,24,27,21,21,30,25,12,13,18,5,26,4,17,3,16,22
"20",23,3,21,26,27,21,5,14,29,10,23,28,4,25,22,6,15,23,27,14,14,15
"21",21,13,28,18,13,3,17,17,16,13,27,22,25,14,30,27,10,26,29,29,30,26
"22",28,16,7,4,8,5,11,4,24,12,26,9,16,2,17,3,27,21,5,22,13,21
"23",3,28,29,3,24,17,9,7,13,26,17,11,2,12,21,16,9,25,13,19,3,29
"24",20,30,20,27,16,16,15,1,9,1,3,17,18,1,16,2,18,1,22,8,27,30
"25",14,27,12,25,29,8,12,21,27,22,29,14,14,16,27,26,5,2,6,9,8,11
"26",11,8,4,24,26,26,7,11,19,20,9,12,19,5,2,25,25,29,19,21,25,17
"27",18,23,11,13,28,19,20,23,5,24,25,5,27,24,6,7,19,19,10,20,26,25
"28",9,18,15,1,30,13,14,16,7,15,4,29,13,11,1,8,30,15,30,30,6,1
"29",6,7,10,17,17,18,18,30,26,3,14,20,17,28,9,1,7,27,12,27,4,8
"30",27,17,30,2,22,20,13,25,23,5,11,8,23,20,5,20,3,9,25,10,19,18
