"","V1","V2","V3","V4","V5","V6","V7"
"1",20,22,15,19,6,11,4
"2",6,12,21,23,20,10,24
"3",12,26,1,11,3,9,23
"4",5,28,29,3,8,21,3
"5",27,20,3,22,29,13,17
"6",13,5,10,25,28,28,2
"7",4,21,18,13,1,27,29
"8",24,16,30,20,24,25,26
"9",29,9,9,27,9,7,28
"10",2,24,27,26,15,2,16
"11",8,19,8,9,22,5,5
"12",23,14,12,4,4,3,21
"13",15,23,23,5,27,18,27
"14",14,17,22,15,11,6,10
"15",21,27,7,14,21,22,19
"16",17,18,16,28,16,20,22
"17",10,8,25,18,7,30,20
"18",9,3,17,1,23,12,18
"19",18,7,28,8,30,8,13
"20",3,10,13,16,26,19,9
"21",25,30,20,30,25,4,6
"22",1,6,6,7,12,15,25
"23",30,25,14,6,19,29,11
"24",7,15,5,29,5,24,12
"25",19,11,2,2,14,26,7
"26",16,1,4,17,18,1,30
"27",11,29,11,21,13,16,14
"28",26,4,19,10,10,23,15
"29",22,2,24,24,2,17,8
"30",28,13,26,12,17,14,1
