"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1",2,1,33,17,1,33,17,33,17,17,33,1,32,17,1,1,17,17,17,17,17,17,1,17,1,17,1,2,1,17,17,1
"2",7,14,23,23,4,13,12,10,30,19,9,29,24,5,26,28,29,13,24,7,24,12,21,5,5,13,23,29,10,9,29,4
"3",22,6,12,5,30,22,6,29,5,21,13,31,14,20,27,3,27,31,3,5,26,23,9,19,8,23,21,18,4,13,10,23
"4",4,4,28,31,12,23,11,13,27,25,19,24,7,30,18,11,7,28,28,30,12,30,27,12,11,14,9,13,9,20,4,28
"5",16,2,15,1,2,2,32,18,15,16,30,26,15,21,16,18,1,18,33,12,1,32,18,32,4,1,16,32,22,2,15,15
"6",31,27,25,21,14,29,20,28,20,28,4,22,9,4,7,13,23,11,29,2,11,21,4,26,14,4,25,24,30,14,8,14
"7",26,7,9,27,8,11,27,5,22,30,11,4,5,28,31,24,11,20,10,14,28,14,19,25,12,24,5,23,31,22,11,8
"8",33,18,17,22,33,16,33,24,1,32,32,16,1,33,19,17,16,15,18,33,19,16,16,1,2,32,33,16,16,12,33,32
"9",14,11,7,28,29,20,13,4,10,23,27,21,26,22,4,30,4,10,20,20,13,5,3,13,21,22,29,28,29,4,9,26
"10",12,13,30,7,6,9,23,23,8,31,7,11,10,12,8,7,3,30,11,9,20,6,7,3,20,11,13,27,15,26,21,29
"11",1,17,2,32,18,17,18,17,13,1,1,33,33,18,17,14,33,1,16,1,33,1,17,33,16,18,2,17,18,33,1,18
"12",15,19,18,3,20,3,31,3,16,26,23,5,20,2,29,9,26,2,14,22,14,31,14,10,18,8,30,19,3,23,2,2
"13",8,22,22,6,31,31,3,12,9,27,25,19,11,25,20,27,24,21,19,3,23,8,28,22,27,3,3,8,24,24,16,6
"14",17,32,32,18,17,1,1,1,2,2,3,32,18,31,15,32,18,26,15,15,2,20,20,16,23,15,19,21,33,18,30,33
"15",18,33,1,33,11,32,16,16,18,33,17,17,17,1,33,33,32,33,1,18,16,18,33,2,17,33,17,1,17,1,18,17
"16",6,25,4,13,9,6,29,22,31,20,10,25,21,24,5,23,21,25,23,19,21,24,12,28,31,29,31,6,11,25,7,24
"17",28,23,5,8,25,25,15,7,24,9,26,23,8,7,11,26,20,22,12,13,8,29,10,4,3,20,4,26,7,30,27,20
"18",24,28,3,29,21,26,24,20,28,22,28,6,28,23,24,6,12,29,25,8,4,9,11,18,28,7,14,20,13,10,31,9
"19",30,24,31,9,13,7,9,15,12,5,21,15,13,29,30,10,8,8,22,16,29,4,6,24,9,19,27,5,8,3,28,13
"20",21,29,13,12,15,21,26,26,3,15,15,18,4,15,14,31,14,6,32,21,30,2,31,6,32,16,10,31,2,16,3,5
"21",27,10,8,10,23,8,14,21,23,13,2,28,3,27,9,8,30,19,6,28,7,10,26,11,22,10,28,3,19,11,14,3
"22",25,5,24,4,16,30,7,19,32,4,31,7,22,3,6,20,5,14,13,10,31,13,24,9,30,28,22,15,21,19,5,21
"23",11,8,26,14,22,27,28,11,6,29,12,30,23,6,13,15,10,9,5,27,5,15,13,30,26,25,6,9,6,5,24,12
"24",9,21,10,24,7,28,8,25,4,8,5,9,25,26,22,25,9,7,7,24,10,27,8,7,6,6,20,12,20,27,13,10
"25",3,30,21,20,26,19,30,30,29,3,22,27,16,11,25,2,6,23,9,25,15,3,23,20,13,27,26,30,25,28,19,11
"26",23,31,11,2,3,12,5,32,26,24,16,13,29,8,12,19,31,5,21,29,6,7,15,21,10,21,11,10,28,21,22,31
"27",20,3,6,19,10,24,22,8,7,11,29,10,6,10,23,5,28,12,26,23,25,22,22,31,24,12,24,7,27,29,26,27
"28",32,15,16,15,32,18,4,2,21,14,8,2,19,16,2,22,2,32,31,26,18,11,32,29,15,5,18,14,5,32,32,16
"29",10,20,20,30,5,14,2,9,19,12,18,12,2,19,3,4,15,3,4,4,3,28,30,23,29,26,32,25,14,15,23,19
"30",19,16,27,16,24,15,19,14,33,18,14,14,31,32,32,16,22,16,2,32,32,33,2,15,33,2,15,33,32,31,20,22
"31",13,26,19,11,27,10,21,6,11,10,6,8,30,14,28,12,13,24,30,6,9,19,25,8,7,30,7,4,26,8,6,25
"32",29,9,29,25,28,5,25,31,25,7,24,20,27,13,21,29,19,4,8,11,22,26,29,27,19,9,12,11,12,7,12,30
"33",5,12,14,26,19,4,10,27,14,6,20,3,12,9,10,21,25,27,27,31,27,25,5,14,25,31,8,22,23,6,25,7
