"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",11,12,12,14,14,8,3,6,13,10,3,12,3,2
"2",3,3,4,12,5,10,5,14,12,6,11,13,5,14
"3",14,5,3,6,10,6,4,4,11,15,6,4,14,12
"4",6,16,14,11,4,4,2,8,3,3,7,8,13,10
"5",4,1,1,2,15,2,10,7,1,12,10,11,9,3
"6",5,8,8,4,7,14,15,5,15,5,5,14,15,6
"7",9,11,7,15,6,5,14,2,4,14,15,16,6,11
"8",16,4,15,10,8,13,12,13,2,16,4,10,2,8
"9",10,7,2,16,16,12,16,10,6,2,1,7,10,15
"10",12,2,13,13,2,16,11,3,10,7,14,5,11,4
"11",1,17,16,1,9,9,17,1,9,9,9,2,1,16
"12",13,15,5,7,12,3,13,12,14,4,13,6,4,7
"13",17,10,9,17,1,1,9,16,16,11,8,9,16,17
"14",15,13,11,3,13,15,6,11,5,8,12,15,12,13
"15",8,6,17,8,11,7,8,17,8,1,17,17,17,1
"16",2,9,10,9,17,17,1,9,17,17,16,1,7,9
"17",7,14,6,5,3,11,7,15,7,13,2,3,8,5
