"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",11,17,5,16,17,13,7,11
"2",1,11,1,5,14,15,4,18
"3",3,18,14,10,1,1,5,5
"4",4,7,7,7,16,6,13,8
"5",16,1,13,9,18,9,18,17
"6",9,10,2,14,3,10,17,7
"7",15,9,12,2,11,11,6,6
"8",10,14,18,6,8,7,2,10
"9",17,15,6,8,7,16,14,3
"10",12,6,15,4,2,17,12,13
"11",13,12,16,15,15,4,11,2
"12",14,4,3,11,10,2,9,12
"13",18,8,8,17,4,5,3,15
"14",5,13,11,12,6,12,10,16
"15",6,2,4,3,5,8,8,1
"16",8,5,10,13,13,18,1,4
"17",7,16,9,1,12,3,16,14
"18",2,3,17,18,9,14,15,9
