"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",6,9,2,13,6,5,13,3,16,13,4,17,14,9,17,17,3
"2",16,3,9,3,3,8,8,8,6,4,7,2,19,7,15,9,6
"3",18,2,4,9,9,14,3,18,12,15,6,18,8,15,13,6,19
"4",13,17,7,17,8,7,7,5,5,18,16,16,15,12,3,3,13
"5",9,1,11,10,13,18,2,2,2,9,2,9,1,8,2,18,12
"6",7,16,3,7,4,2,6,15,14,3,11,13,3,3,6,12,14
"7",2,5,12,2,2,16,9,19,19,19,17,11,13,13,8,15,9
"8",5,18,6,6,18,13,17,12,3,14,9,8,18,14,18,14,16
"9",14,6,5,14,17,9,12,7,18,6,14,3,7,17,5,16,17
"10",1,11,20,15,20,11,1,1,9,2,10,19,20,20,10,11,10
"11",20,14,10,11,11,1,20,20,11,1,20,1,11,11,20,20,11
"12",15,7,14,16,16,4,18,17,4,17,8,14,5,5,9,13,7
"13",12,12,17,5,14,3,4,13,17,12,3,5,16,16,7,2,8
"14",3,13,8,18,7,19,15,16,7,7,5,7,9,18,4,8,4
"15",4,15,13,12,15,15,5,6,13,16,15,4,6,4,16,7,5
"16",11,20,19,20,1,10,11,11,10,20,1,6,10,2,12,19,20
"17",10,4,16,19,12,17,14,14,15,5,13,15,17,6,19,4,15
"18",17,10,1,8,19,20,10,10,1,8,19,12,12,1,11,1,1
"19",19,19,18,1,10,12,16,9,20,11,12,20,2,10,1,10,2
"20",8,8,15,4,5,6,19,4,8,10,18,10,4,19,14,5,18
