"","V1","V2","V3","V4","V5","V6","V7"
"1",11,9,16,20,4,2,4
"2",3,14,11,3,6,6,19
"3",8,10,12,4,17,18,11
"4",18,11,1,8,16,3,15
"5",2,12,2,17,3,16,10
"6",10,5,4,13,19,14,20
"7",20,6,13,15,8,7,12
"8",19,19,14,1,20,13,5
"9",12,15,17,10,9,15,14
"10",4,16,19,14,18,5,8
"11",6,1,15,18,14,9,16
"12",7,20,8,11,1,1,13
"13",15,7,20,5,2,11,17
"14",14,13,9,16,15,10,2
"15",16,17,6,19,11,19,18
"16",9,18,3,6,7,8,3
"17",17,2,10,12,5,17,7
"18",1,4,18,7,13,20,1
"19",5,8,7,9,10,12,6
"20",13,3,5,2,12,4,9
