"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,21,5,11,20,11,5,16,19,1,21
"2",15,12,11,9,19,2,3,9,5,8,3
"3",6,9,19,12,8,18,2,5,12,3,8
"4",2,11,14,14,1,17,18,10,2,14,20
"5",9,7,16,16,17,4,15,20,9,4,16
"6",8,19,8,6,18,19,16,2,7,19,9
"7",7,4,7,17,4,10,6,12,8,17,4
"8",17,13,10,19,13,20,1,17,14,18,17
"9",5,2,9,7,7,1,20,14,15,10,14
"10",10,10,1,1,2,21,11,21,18,7,2
"11",14,6,4,13,16,15,12,7,16,13,13
"12",20,20,17,15,3,3,10,8,17,20,10
"13",21,3,13,2,14,16,9,13,4,2,11
"14",11,5,15,3,11,6,4,3,21,16,19
"15",13,18,20,8,6,14,7,19,6,12,15
"16",12,17,12,18,10,13,17,11,20,6,6
"17",18,14,6,5,5,9,14,6,10,5,18
"18",3,15,18,4,15,8,13,15,13,15,5
"19",19,1,21,21,21,12,21,1,11,11,1
"20",16,8,3,10,9,7,19,18,1,21,7
"21",4,16,2,20,12,5,8,4,3,9,12
