"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",5,4,6,4,6,16,15,15,4,20,21,10,15,8,20,15
"2",14,7,18,6,8,5,3,5,15,13,19,16,7,17,18,14
"3",22,22,12,2,12,13,12,14,11,15,2,22,1,22,22,1
"4",16,17,5,3,20,9,9,10,20,7,22,8,4,6,5,12
"5",19,16,13,17,4,11,6,19,17,19,13,3,11,2,17,17
"6",21,2,15,8,13,2,22,11,21,21,11,5,16,15,4,8
"7",18,6,20,19,15,14,14,9,6,14,6,14,9,5,3,19
"8",12,3,4,15,2,17,8,17,16,10,9,17,21,21,2,11
"9",6,14,9,18,18,3,17,12,19,5,4,15,13,19,19,16
"10",2,11,1,1,11,12,1,3,13,1,8,1,12,12,1,21
"11",11,5,17,13,21,10,16,2,12,2,14,9,22,1,21,2
"12",1,1,11,11,22,1,5,22,1,12,12,18,3,7,12,22
"13",3,13,19,7,9,19,18,16,18,8,15,19,10,4,8,5
"14",9,12,22,22,1,22,11,1,22,22,1,11,2,11,13,10
"15",7,19,8,10,7,4,7,4,9,16,5,13,17,3,7,7
"16",8,10,10,16,19,20,2,13,8,18,18,7,8,18,6,3
"17",15,18,3,12,16,21,20,7,14,17,17,21,19,10,14,20
"18",20,9,7,21,5,8,10,8,2,3,16,20,14,14,11,4
"19",13,8,2,14,10,6,21,18,7,9,3,4,5,9,16,6
"20",4,21,21,20,14,7,13,21,10,11,20,2,20,16,9,13
"21",10,20,14,9,3,15,19,6,3,6,10,6,6,20,10,18
"22",17,15,16,5,17,18,4,20,5,4,7,12,18,13,15,9
