"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",17,21,2,18,15,3,10,9,3
"2",1,4,14,19,2,2,11,24,18
"3",20,15,7,15,19,23,4,22,19
"4",22,18,24,4,1,24,18,13,1
"5",21,12,17,8,13,6,12,18,11
"6",2,13,3,3,8,13,5,8,16
"7",15,9,13,2,18,12,21,23,4
"8",24,23,15,17,9,14,22,15,21
"9",14,1,1,11,6,21,24,19,14
"10",4,17,9,21,14,19,20,1,12
"11",13,7,8,6,10,4,19,6,20
"12",3,14,21,14,22,5,23,10,8
"13",7,2,10,13,12,8,3,14,2
"14",8,10,16,16,7,22,14,5,5
"15",18,8,11,24,3,18,2,11,10
"16",23,5,5,9,23,16,8,3,6
"17",9,11,4,23,24,7,17,17,24
"18",10,24,18,1,20,1,1,4,13
"19",12,19,22,22,11,15,6,20,7
"20",6,22,6,7,4,10,15,21,9
"21",11,20,12,10,21,17,13,12,17
"22",19,3,23,20,17,11,16,7,15
"23",5,6,20,5,16,20,9,16,22
"24",16,16,19,12,5,9,7,2,23
