"","V1","V2","V3","V4","V5"
"1",15,19,2,4,13
"2",4,10,1,20,5
"3",23,26,3,16,21
"4",9,20,21,18,24
"5",1,22,7,13,10
"6",19,1,22,24,9
"7",13,9,18,9,15
"8",11,25,25,8,4
"9",24,18,17,11,6
"10",16,7,26,12,23
"11",22,11,6,6,3
"12",20,23,19,2,19
"13",5,17,9,7,22
"14",2,8,16,25,20
"15",8,2,4,10,17
"16",17,21,10,26,2
"17",18,12,12,14,18
"18",21,5,8,19,12
"19",3,13,23,3,11
"20",10,6,11,1,7
"21",7,24,13,22,14
"22",26,3,14,5,25
"23",14,15,15,17,8
"24",12,14,5,23,26
"25",6,4,20,15,1
"26",25,16,24,21,16
