"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,23,1,14,25,13,26,24,13,2,15,19,27
"2",13,21,22,11,4,4,4,11,12,23,16,18,6
"3",20,6,5,10,15,9,11,5,8,13,18,22,24
"4",6,7,18,24,18,2,7,13,10,3,8,8,22
"5",9,3,11,8,27,3,22,2,27,16,11,12,2
"6",17,1,27,27,26,27,2,18,1,10,17,24,14
"7",12,4,26,18,13,8,19,25,19,25,4,14,19
"8",21,14,24,23,20,12,27,3,14,19,21,7,8
"9",2,2,2,5,7,15,8,10,18,22,24,5,15
"10",7,16,15,26,3,25,18,6,20,12,25,17,25
"11",26,19,25,7,6,18,10,1,2,5,10,13,20
"12",25,11,9,13,21,5,6,22,21,8,26,15,11
"13",18,5,14,16,1,21,13,27,11,1,22,1,3
"14",15,12,10,1,2,11,1,19,5,20,1,9,26
"15",3,9,20,15,22,20,14,7,4,21,3,20,10
"16",16,20,7,21,23,19,12,14,26,24,19,11,21
"17",22,26,17,25,8,14,9,21,22,17,6,21,1
"18",10,25,19,9,16,17,21,20,7,11,23,10,13
"19",14,10,8,20,5,16,23,12,15,7,9,23,12
"20",8,17,13,6,19,22,5,26,16,18,12,26,18
"21",5,13,23,2,12,10,15,15,25,4,20,25,5
"22",11,24,4,17,14,24,3,4,23,6,2,6,7
"23",23,15,3,4,17,26,20,16,9,26,7,16,4
"24",27,27,12,19,11,1,24,8,6,27,27,27,17
"25",24,8,21,12,10,23,25,17,24,15,14,4,23
"26",4,18,6,22,9,6,16,23,3,14,13,3,9
"27",19,22,16,3,24,7,17,9,17,9,5,2,16
