"","V1","V2","V3","V4","V5","V6"
"1",23,27,19,3,19,4
"2",5,1,6,5,28,2
"3",3,26,27,19,5,20
"4",21,14,1,24,8,14
"5",8,28,4,26,13,26
"6",7,8,22,6,3,16
"7",26,17,5,17,4,8
"8",9,16,25,11,21,7
"9",15,18,21,23,27,28
"10",16,15,16,4,12,19
"11",18,4,26,1,6,25
"12",17,5,3,13,16,6
"13",1,19,8,2,15,12
"14",24,3,14,22,22,21
"15",19,25,10,15,26,15
"16",13,9,7,20,20,18
"17",28,7,9,10,10,27
"18",14,24,13,9,7,10
"19",25,12,28,8,25,11
"20",6,21,15,21,9,3
"21",20,10,23,18,14,1
"22",4,13,12,14,18,24
"23",10,2,20,16,11,13
"24",22,20,18,12,1,23
"25",2,6,17,25,24,9
"26",12,11,11,28,2,5
"27",11,22,2,7,23,22
"28",27,23,24,27,17,17
