"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",11,17,8,7,19,25,8,13,9,11,5,4,19,8,17
"2",21,8,9,21,14,24,21,17,13,10,23,27,5,25,23
"3",17,16,25,16,22,3,18,26,10,4,24,8,8,9,6
"4",29,29,29,13,9,29,29,11,1,1,14,1,12,29,15
"5",19,13,18,27,10,2,3,5,8,19,4,21,11,21,14
"6",23,26,7,4,21,13,2,2,11,28,17,7,2,17,24
"7",10,21,21,22,17,9,25,19,3,27,12,23,15,7,26
"8",3,6,16,3,13,15,1,22,15,2,7,28,14,1,1
"9",18,11,14,15,4,20,24,3,25,5,8,9,17,13,27
"10",13,1,4,29,26,17,27,15,2,8,1,15,1,14,7
"11",15,7,5,10,12,4,28,8,20,25,27,14,22,3,19
"12",5,25,11,19,7,8,6,12,21,7,20,18,7,11,16
"13",8,4,2,8,3,6,14,24,7,15,13,11,9,23,28
"14",28,12,10,12,29,11,16,28,28,22,3,26,6,6,18
"15",16,20,23,9,6,21,15,14,18,26,6,17,3,26,5
"16",22,24,13,5,8,19,23,25,6,16,19,19,27,5,11
"17",6,10,22,11,24,16,12,4,5,6,22,20,24,27,20
"18",27,9,15,20,5,12,7,18,4,24,25,5,20,16,4
"19",12,28,3,14,18,22,4,29,26,17,26,22,16,22,3
"20",2,27,24,24,11,14,20,27,19,13,2,6,21,19,21
"21",1,15,1,25,2,27,17,1,12,29,16,25,23,10,9
"22",7,22,12,17,27,5,22,7,14,20,9,2,28,24,2
"23",25,2,20,6,20,7,19,10,22,12,15,24,18,18,8
"24",20,3,28,18,23,28,5,23,17,21,10,16,26,12,22
"25",4,14,17,2,25,26,26,20,23,23,21,10,10,20,13
"26",24,18,6,26,16,10,11,21,24,3,11,12,25,28,12
"27",9,5,26,23,15,18,10,6,27,18,18,3,4,4,10
"28",26,23,19,28,28,23,13,9,16,14,28,13,13,2,29
"29",14,19,27,1,1,1,9,16,29,9,29,29,29,15,25
