"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",5,18,4,12,28,25,8,13,14,7,20,2,28,28,3,13,9,16,10,23,20
"2",19,25,3,5,2,16,20,26,13,23,16,11,21,25,9,4,26,12,23,4,17
"3",16,15,29,15,15,15,29,29,1,29,29,28,29,12,1,2,14,21,15,15,1
"4",7,23,16,16,12,5,6,22,20,22,7,24,26,23,12,21,21,3,13,27,6
"5",9,26,10,20,27,12,25,11,24,20,8,16,3,10,14,5,5,22,21,24,24
"6",21,9,21,23,3,22,18,16,28,12,3,23,20,27,4,22,3,25,19,19,13
"7",6,12,23,9,26,17,11,27,27,24,5,9,10,1,25,14,18,26,11,6,14
"8",29,14,13,2,29,2,28,14,22,13,11,21,12,14,2,16,29,13,5,1,2
"9",15,2,1,29,1,1,15,1,12,18,14,29,1,16,29,15,15,29,12,29,16
"10",13,13,5,22,25,10,10,17,5,16,26,13,25,13,27,23,2,5,25,3,9
"11",28,4,6,19,23,21,5,24,8,4,10,22,6,21,18,7,19,18,20,12,8
"12",24,8,17,7,5,18,9,23,4,19,25,20,8,9,11,12,6,7,6,25,22
"13",17,19,20,3,21,3,16,25,3,8,4,4,14,18,17,27,10,19,24,28,29
"14",18,28,27,17,7,24,27,21,17,6,13,3,2,5,19,18,7,6,14,2,11
"15",8,21,18,8,8,9,22,8,6,5,17,19,18,22,24,8,4,27,7,11,7
"16",20,6,26,21,9,4,7,12,23,10,24,8,23,17,16,6,22,20,9,5,25
"17",12,29,28,4,20,20,4,10,15,15,28,14,4,19,10,25,27,28,1,18,12
"18",2,3,19,26,18,11,26,28,16,1,27,15,15,29,23,17,28,10,16,22,23
"19",14,16,11,6,4,19,2,4,26,3,12,17,27,7,28,28,20,11,18,16,26
"20",25,7,14,10,17,26,23,9,11,21,19,6,24,8,21,19,23,24,22,26,5
"21",27,24,22,25,22,6,3,3,10,27,18,18,17,4,7,20,8,17,17,8,18
"22",10,27,12,28,16,27,14,18,2,14,2,27,22,3,20,10,25,14,3,10,21
"23",23,11,2,13,19,8,17,2,19,2,1,12,19,2,13,3,12,2,2,21,10
"24",1,1,15,1,14,29,1,15,29,28,15,1,16,15,15,1,1,1,29,13,15
"25",4,17,24,24,6,14,12,5,9,11,9,5,9,11,6,9,24,9,27,20,4
"26",22,22,25,14,24,28,19,6,21,17,23,25,11,24,26,11,16,4,26,14,28
"27",26,20,9,27,10,13,13,19,25,26,21,7,5,26,22,29,11,15,4,17,3
"28",11,5,8,18,13,23,24,7,7,25,6,10,13,20,5,24,13,8,8,7,27
"29",3,10,7,11,11,7,21,20,18,9,22,26,7,6,8,26,17,23,28,9,19
