"","V1","V2","V3","V4"
"1",19,24,15,22
"2",5,4,8,21
"3",13,15,13,11
"4",3,14,21,26
"5",18,13,9,14
"6",28,12,25,3
"7",11,28,24,20
"8",8,22,11,29
"9",22,1,17,25
"10",9,2,28,13
"11",17,8,26,28
"12",7,10,18,17
"13",4,23,27,9
"14",21,18,23,16
"15",6,19,16,1
"16",23,29,10,7
"17",14,5,22,8
"18",27,6,12,18
"19",26,21,19,12
"20",25,16,29,23
"21",24,9,5,10
"22",20,3,2,2
"23",1,7,14,6
"24",12,11,4,24
"25",15,20,1,19
"26",10,17,6,5
"27",29,25,7,27
"28",2,27,3,15
"29",16,26,20,4
