"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",8,20,24,22,23,24,23,12,20,20,24,21,27,4,14,11,24,25
"2",2,17,12,16,15,21,1,14,25,1,30,30,8,1,2,30,2,15
"3",13,23,7,20,27,13,13,8,7,29,4,23,20,18,7,26,6,24
"4",27,22,26,10,6,17,10,4,27,16,12,25,3,17,9,19,25,8
"5",3,25,15,19,25,3,20,7,23,9,10,10,12,26,24,22,20,11
"6",28,28,13,28,7,7,26,28,24,15,16,17,24,9,17,27,4,20
"7",6,11,18,4,4,10,25,13,10,25,23,22,9,20,21,17,5,7
"8",4,13,21,7,19,23,11,29,26,27,13,4,22,14,28,21,11,27
"9",22,4,6,5,14,18,28,10,22,6,7,24,17,11,26,14,19,23
"10",16,10,20,9,9,6,6,6,5,10,26,8,14,7,13,28,21,26
"11",20,19,5,23,5,25,8,19,11,12,20,18,6,27,27,23,15,28
"12",1,1,16,15,1,16,30,1,1,19,14,16,30,29,1,2,16,30
"13",18,16,28,11,30,9,24,23,18,7,2,1,1,30,15,15,1,29
"14",5,9,10,26,20,4,5,24,3,17,8,27,4,16,18,10,28,21
"15",11,12,1,1,12,30,18,15,30,14,3,14,29,21,16,29,30,1
"16",17,27,17,12,2,29,15,26,14,28,1,28,13,6,23,1,23,14
"17",23,3,25,2,24,1,17,18,13,22,11,15,7,3,3,25,13,18
"18",30,8,8,29,29,22,14,2,17,30,28,11,2,8,19,16,17,2
"19",12,2,27,17,26,14,7,21,29,11,19,19,15,10,22,3,7,3
"20",9,29,4,8,21,28,27,5,12,13,18,5,5,13,10,6,8,16
"21",25,14,9,18,13,12,21,22,28,26,22,7,10,22,6,4,22,22
"22",29,24,19,3,28,19,2,17,8,2,17,13,21,23,20,7,27,19
"23",21,30,29,24,17,15,29,16,2,23,29,2,16,15,29,24,29,9
"24",26,18,11,14,16,8,9,11,9,18,5,6,28,2,25,8,9,6
"25",7,5,3,21,3,11,12,20,15,4,15,3,23,5,8,18,26,12
"26",24,7,14,13,22,26,19,25,4,8,25,26,25,24,11,20,10,10
"27",15,26,2,6,18,5,4,30,19,21,27,20,19,28,5,13,18,5
"28",10,21,22,27,10,20,22,27,6,5,6,12,11,12,4,12,14,4
"29",19,6,23,25,8,27,3,9,21,24,9,9,18,25,12,9,3,13
"30",14,15,30,30,11,2,16,3,16,3,21,29,26,19,30,5,12,17
