"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",11,8,7,14,14,9,13,4,3,2
"2",6,5,8,10,1,6,2,14,7,4
"3",13,3,15,3,3,13,14,12,4,7
"4",5,9,6,6,9,12,5,11,2,14
"5",15,16,5,8,6,11,6,2,8,5
"6",1,6,14,7,10,7,16,1,9,16
"7",8,11,4,4,8,2,15,16,16,3
"8",10,15,10,9,16,15,11,15,11,15
"9",9,14,16,13,5,1,1,5,1,12
"10",3,12,2,16,2,10,12,9,10,10
"11",12,7,9,5,4,5,9,6,13,11
"12",14,10,13,15,11,8,4,13,14,8
"13",2,13,11,2,15,4,7,8,5,6
"14",4,1,12,12,7,14,8,7,15,1
"15",16,2,3,11,12,3,10,10,6,13
"16",7,4,1,1,13,16,3,3,12,9
