"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",4,13,7,14,11,10,10,14,6,16,4,11,9,1
"2",11,9,1,12,2,12,11,1,10,14,8,14,1,12
"3",2,1,10,6,10,15,7,11,11,1,10,13,15,11
"4",16,8,6,16,14,7,13,3,3,2,11,8,14,7
"5",9,15,3,8,12,13,3,6,8,3,14,4,3,3
"6",5,10,11,1,16,16,14,4,9,8,1,3,8,14
"7",1,7,5,5,5,9,9,16,2,9,16,1,4,10
"8",6,4,2,10,15,4,5,9,15,15,6,2,12,8
"9",3,11,12,13,3,3,6,5,14,7,13,10,6,6
"10",14,14,9,9,1,8,1,15,16,6,3,7,16,13
"11",12,2,4,3,6,6,12,8,12,5,2,12,7,4
"12",7,3,14,4,4,11,2,2,4,10,7,9,13,2
"13",15,12,16,2,13,5,4,12,7,11,9,15,5,9
"14",10,5,13,15,8,1,8,10,5,4,5,5,2,15
"15",13,6,15,11,9,14,15,13,13,12,15,6,10,5
"16",8,16,8,7,7,2,16,7,1,13,12,16,11,16
