"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1,15,10,6,3,3,16,15,14,10,11,6,13,2,8
"2",15,17,9,8,12,17,7,17,10,9,9,17,1,17,14
"3",3,4,6,11,13,11,3,16,7,11,4,5,6,6,5
"4",9,1,4,1,2,12,12,14,9,5,2,13,17,10,11
"5",16,10,3,12,17,9,10,1,17,17,10,3,16,7,12
"6",10,12,2,7,5,5,5,9,13,15,1,7,3,14,2
"7",8,13,7,17,14,7,15,8,2,3,5,9,4,1,13
"8",2,5,1,3,10,4,9,2,5,6,14,8,9,16,17
"9",13,3,13,16,1,2,8,11,3,12,8,1,8,13,10
"10",14,14,5,15,4,14,6,5,6,7,13,11,11,4,4
"11",6,11,17,4,15,16,13,7,8,8,7,2,12,12,3
"12",7,9,12,13,16,6,4,13,11,2,15,12,14,15,7
"13",17,6,16,9,9,1,11,4,12,1,3,15,7,3,6
"14",12,7,8,5,11,10,17,12,1,16,16,16,10,8,1
"15",4,16,15,10,6,8,1,6,4,14,6,14,15,9,16
"16",5,2,11,14,8,15,14,3,15,13,17,10,2,11,9
"17",11,8,14,2,7,13,2,10,16,4,12,4,5,5,15
