"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",5,14,8,10,3,10,16,18,18,8,18,11,7,1,15,19,1,6
"2",6,20,1,7,20,20,18,10,13,1,10,20,16,9,20,10,9,11
"3",1,1,13,8,10,5,11,20,1,2,4,10,20,8,10,6,20,9
"4",7,17,12,3,2,12,7,16,8,19,13,16,19,18,9,15,13,19
"5",3,3,19,15,19,6,1,9,12,10,15,12,3,5,12,14,15,17
"6",18,10,14,18,14,4,14,13,20,17,14,15,15,11,17,7,3,20
"7",12,8,10,14,16,16,19,19,6,15,7,17,5,10,1,20,18,13
"8",11,13,15,20,9,18,2,3,19,7,9,4,18,15,14,18,17,10
"9",10,4,2,2,11,3,4,8,5,13,6,13,9,14,19,16,2,5
"10",9,12,20,19,7,7,20,11,9,5,1,18,8,20,8,4,10,2
"11",17,7,11,1,1,19,13,7,7,6,20,9,2,13,13,5,8,14
"12",14,19,7,16,4,2,17,2,4,12,5,6,13,2,11,11,12,18
"13",20,9,3,5,5,8,6,4,17,11,12,19,11,6,7,1,19,12
"14",19,15,18,4,13,15,8,15,11,14,2,5,6,3,18,9,14,8
"15",8,2,6,17,8,17,5,12,10,16,17,7,17,4,2,3,7,7
"16",16,18,16,12,15,14,9,5,3,4,16,14,12,7,6,17,6,4
"17",2,11,5,11,18,11,10,1,2,18,11,1,4,16,16,2,11,1
"18",15,16,4,13,12,9,3,17,15,3,8,8,1,17,4,8,4,16
"19",13,6,9,6,17,1,12,14,14,9,19,2,14,19,5,12,16,3
"20",4,5,17,9,6,13,15,6,16,20,3,3,10,12,3,13,5,15
