"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",11,7,12,16,12,1,14,2,1,2,2,2,5,12,21,13
"2",18,19,4,3,16,16,9,10,12,20,16,3,4,16,15,12
"3",20,10,10,17,9,17,20,7,19,6,19,16,9,4,14,8
"4",16,1,11,10,3,21,1,13,10,1,5,10,15,19,16,5
"5",7,16,5,20,6,13,10,3,14,4,8,14,19,18,7,14
"6",8,18,20,9,4,9,17,18,3,9,14,17,6,17,17,9
"7",5,9,14,4,15,18,4,15,8,3,12,19,7,7,6,15
"8",2,8,3,18,7,10,3,14,2,15,18,5,11,14,3,6
"9",4,17,8,11,20,7,2,5,17,13,3,18,3,11,12,4
"10",9,3,17,1,1,12,7,1,20,14,13,1,13,1,11,10
"11",3,13,13,8,10,19,18,19,18,16,7,4,20,13,13,18
"12",12,15,19,19,19,20,5,6,5,11,17,9,17,9,18,20
"13",14,11,2,12,5,2,6,16,15,18,9,15,8,3,20,19
"14",13,6,9,7,21,11,11,21,21,7,21,11,1,20,2,21
"15",1,4,21,15,18,5,21,9,11,21,11,13,12,21,10,16
"16",6,5,6,5,13,6,15,11,13,8,15,8,18,5,19,3
"17",17,14,7,2,2,8,19,8,6,10,4,7,10,8,4,17
"18",19,20,18,14,14,4,8,20,16,5,10,6,14,10,5,7
"19",21,2,1,13,17,14,13,17,4,12,1,21,21,6,9,11
"20",15,12,15,6,8,3,12,4,7,19,20,20,16,15,8,2
"21",10,21,16,21,11,15,16,12,9,17,6,12,2,2,1,1
